INICIO Sun Jun  7 05:41:17 UTC 2026
cache AC2016.7z
ok AL2016.7z 21M
ok AM2016.7z 27M
ok AP2016.7z 6.0M
ok BA2016.7z 105M
ok CE2016.7z 67M
ok DF2016.7z 55M
ok ES2016.7z 48M
ok GO2016.7z 80M
ok MA2016.7z 29M
ok MG2016.7z 258M
ok MS2016.7z 36M
ok MT2016.7z 48M
ok PA2016.7z 52M
ok PB2016.7z 26M
ok PE2016.7z 74M
ok PI2016.7z 18M
ok PR2016.7z 174M
ok RJ2016.7z 226M
ok RN2016.7z 27M
ok RO2016.7z 17M
ok RR2016.7z 5.0M
ok RS2016.7z 171M
ok SC2016.7z 131M
ok SE2016.7z 18M
ok SP2016.7z 775M
ok TO2016.7z 13M
cache AC2017.7z
ok AL2017.7z 20M
ok AM2017.7z 26M
ok AP2017.7z 6.0M
ok BA2017.7z 103M
ok CE2017.7z 65M
ok DF2017.7z 53M
ok ES2017.7z 46M
ok GO2017.7z 80M
ok MA2017.7z 28M
ok MG2017.7z 253M
ok MS2017.7z 36M
ok MT2017.7z 47M
ok PA2017.7z 51M
ok PB2017.7z 25M
ok PE2017.7z 71M
ok PI2017.7z 18M
ok PR2017.7z 170M
ok RJ2017.7z 206M
ok RN2017.7z 26M
ok RO2017.7z 17M
ok RR2017.7z 5.0M
ok RS2017.7z 166M
ok SC2017.7z 130M
ok SE2017.7z 17M
ok SP2017.7z 755M
ok TO2017.7z 13M
cache RAIS_VINC_PUB_NORTE.7z
ok RAIS_VINC_PUB_NORDESTE.7z 387M
ok RAIS_VINC_PUB_CENTRO_OESTE.7z 228M
ok RAIS_VINC_PUB_MG_ES_RJ.7z 529M
ok RAIS_VINC_PUB_SP.7z 804M
ok RAIS_VINC_PUB_SUL.7z 498M
cache RAIS_VINC_PUB_NORTE.7z
ok RAIS_VINC_PUB_NORDESTE.7z 368M
ok RAIS_VINC_PUB_CENTRO_OESTE.7z 215M
ok RAIS_VINC_PUB_MG_ES_RJ.7z 506M
ok RAIS_VINC_PUB_SP.7z 769M
ok RAIS_VINC_PUB_SUL.7z 480M
FIM Sun Jun  7 07:37:39 UTC 2026
