INICIO Fri Jun  5 23:27:35 UTC 2026
ok    2020_trimestre_01 Previdenciario (158M)
ok    2020_trimestre_01 FGTS (14M)
ok    2020_trimestre_02 Previdenciario (160M)
ok    2020_trimestre_02 FGTS (14M)
ok    2020_trimestre_03 Previdenciario (160M)
ok    2020_trimestre_03 FGTS (14M)
ok    2020_trimestre_04 Previdenciario (162M)
ok    2020_trimestre_04 FGTS (14M)
ok    2021_trimestre_01 Previdenciario (166M)
ok    2021_trimestre_01 FGTS (14M)
ok    2021_trimestre_02 Previdenciario (125M)
ok    2021_trimestre_02 FGTS (14M)
ok    2021_trimestre_03 Previdenciario (126M)
ok    2021_trimestre_03 FGTS (13M)
ok    2021_trimestre_04 Previdenciario (198M)
ok    2021_trimestre_04 FGTS (13M)
ok    2022_trimestre_01 Previdenciario (203M)
ok    2022_trimestre_01 FGTS (13M)
ok    2022_trimestre_02 Previdenciario (132M)
ok    2022_trimestre_02 FGTS (13M)
ok    2022_trimestre_03 Previdenciario (131M)
ok    2022_trimestre_03 FGTS (13M)
ok    2022_trimestre_04 Previdenciario (131M)
ok    2022_trimestre_04 FGTS (14M)
ok    2023_trimestre_01 Previdenciario (123M)
ok    2023_trimestre_01 FGTS (13M)
ok    2023_trimestre_02 Previdenciario (124M)
ok    2023_trimestre_02 FGTS (13M)
ok    2023_trimestre_03 Previdenciario (117M)
ok    2023_trimestre_03 FGTS (13M)
ok    2023_trimestre_04 Previdenciario (117M)
ok    2023_trimestre_04 FGTS (13M)
ok    2024_trimestre_01 Previdenciario (116M)
ok    2024_trimestre_01 FGTS (14M)
ok    2024_trimestre_02 Previdenciario (108M)
ok    2024_trimestre_02 FGTS (15M)
ok    2024_trimestre_03 Previdenciario (106M)
ok    2024_trimestre_03 FGTS (15M)
ok    2024_trimestre_04 Previdenciario (100M)
ok    2024_trimestre_04 FGTS (15M)
ok    2025_trimestre_01 Previdenciario (95M)
ok    2025_trimestre_01 FGTS (15M)
ok    2025_trimestre_02 Previdenciario (91M)
ok    2025_trimestre_02 FGTS (15M)
ok    2025_trimestre_03 Previdenciario (90M)
ok    2025_trimestre_03 FGTS (17M)
ok    2025_trimestre_04 Previdenciario (86M)
ok    2025_trimestre_04 FGTS (17M)
ok    2026_trimestre_01 Previdenciario (83M)
cache 2026_trimestre_01 FGTS (17M)
FIM Fri Jun  5 23:42:02 UTC 2026
TOTAL_ZIPS 50
