  put CENTRO_OESTE.parquet (31.5MB, 9s)
  put MG_ES_RJ.parquet (72.2MB, 16s)
  put NORDESTE.parquet (57.6MB, 13s)
  put NORTE.parquet (18.6MB, 4s)
  put SP.parquet (99.5MB, 23s)
  put SUL.parquet (66.6MB, 15s)
  put CENTRO_OESTE.parquet (34.5MB, 8s)
  put MG_ES_RJ.parquet (78.2MB, 17s)
  put NORDESTE.parquet (63.0MB, 14s)
  put NORTE.parquet (20.6MB, 6s)
  put SP.parquet (108.5MB, 23s)
  put SUL.parquet (73.2MB, 17s)
  put CENTRO_OESTE.parquet (41.7MB, 10s)
  put MG_ES_RJ.parquet (93.0MB, 21s)
  put NORDESTE.parquet (74.0MB, 17s)
  put NORTE.parquet (24.2MB, 6s)
  put SP.parquet (132.1MB, 30s)
  put SUL.parquet (84.2MB, 19s)
  put CENTRO_OESTE.parquet (62.2MB, 14s)
  put MG_ES_RJ.parquet (130.3MB, 29s)
  put NORDESTE.parquet (113.4MB, 25s)
  put NORTE.parquet (37.7MB, 9s)
  put SP.parquet (170.2MB, 38s)
  put SUL.parquet (113.0MB, 25s)
