  put CENTRO_OESTE.parquet (47.0MB, 7s)
  put MG_ES_RJ.parquet (109.6MB, 14s)
  put NORDESTE.parquet (85.5MB, 11s)
  put NORTE.parquet (27.1MB, 4s)
  put SP.parquet (149.5MB, 26s)
  put SUL.parquet (100.2MB, 13s)
  put CENTRO_OESTE.parquet (45.9MB, 7s)
  put MG_ES_RJ.parquet (104.9MB, 14s)
  put NORDESTE.parquet (83.7MB, 11s)
  put NORTE.parquet (26.8MB, 4s)
  put SP.parquet (142.7MB, 19s)
  put SUL.parquet (96.5MB, 13s)
  put CENTRO_OESTE.parquet (50.0MB, 8s)
  put MG_ES_RJ.parquet (112.9MB, 15s)
  put NORDESTE.parquet (91.1MB, 12s)
  put NORTE.parquet (29.6MB, 4s)
  put SP.parquet (153.9MB, 20s)
  put SUL.parquet (105.7MB, 14s)
  put CENTRO_OESTE.parquet (60.2MB, 9s)
  put MG_ES_RJ.parquet (134.7MB, 18s)
  put NORDESTE.parquet (105.9MB, 22s)
  put NORTE.parquet (34.1MB, 5s)
  put SP.parquet (189.8MB, 25s)
  put SUL.parquet (122.1MB, 16s)
  put CENTRO_OESTE.parquet (92.7MB, 13s)
  put MG_ES_RJ.parquet (194.2MB, 25s)
  put NORDESTE.parquet (167.9MB, 22s)
  put NORTE.parquet (56.0MB, 7s)
  put SP.parquet (247.0MB, 32s)
  put SUL.parquet (165.2MB, 21s)
