  put CENTRO_OESTE.parquet (47.0MB, 12s)
  put MG_ES_RJ.parquet (109.6MB, 25s)
  put NORDESTE.parquet (85.5MB, 20s)
  put NORTE.parquet (27.1MB, 7s)
  put SP.parquet (149.5MB, 33s)
  put SUL.parquet (100.2MB, 22s)
  put CENTRO_OESTE.parquet (45.9MB, 12s)
  put MG_ES_RJ.parquet (104.9MB, 24s)
  put NORDESTE.parquet (83.7MB, 19s)
  put NORTE.parquet (26.8MB, 7s)
  put SP.parquet (142.7MB, 32s)
  put SUL.parquet (96.5MB, 22s)
  put CENTRO_OESTE.parquet (50.0MB, 13s)
  put MG_ES_RJ.parquet (112.9MB, 26s)
  put NORDESTE.parquet (91.1MB, 20s)
  put NORTE.parquet (29.6MB, 7s)
  put SP.parquet (153.9MB, 32s)
  put SUL.parquet (105.7MB, 23s)
  put CENTRO_OESTE.parquet (60.2MB, 16s)
  put MG_ES_RJ.parquet (134.7MB, 29s)
  put NORDESTE.parquet (105.9MB, 24s)
  put NORTE.parquet (34.1MB, 8s)
  put SP.parquet (189.8MB, 41s)
  put SUL.parquet (122.1MB, 27s)
  put CENTRO_OESTE.parquet (92.7MB, 22s)
  put MG_ES_RJ.parquet (194.2MB, 42s)
  put NORDESTE.parquet (167.9MB, 36s)
  put NORTE.parquet (56.0MB, 13s)
  put SP.parquet (247.0MB, 53s)
  put SUL.parquet (165.2MB, 35s)
