iter	Passed	Remaining
0	627	941177
1	1051	787287
2	1501	749042
3	2006	750613
4	2435	728117
5	2823	703035
6	3319	707920
7	3761	701497
8	4182	692938
9	4530	675089
10	5021	679732
11	5492	681059
12	5937	679183
13	6387	678028
14	6804	673692
15	7109	659369
16	7479	652509
17	7895	650025
18	8338	649956
19	8695	643457
20	9062	638292
21	9583	643823
22	10072	646856
23	10569	650030
24	11115	655794
25	11604	657862
26	12039	656837
27	12375	650603
28	12813	649943
29	13204	647030
30	13664	647501
31	14056	644824
32	14547	646713
33	14927	643622
34	15342	642196
35	15760	640946
36	16198	640497
37	16606	638910
38	17047	638615
39	17390	634749
40	17923	637797
41	18394	638536
42	18806	637235
43	19186	634886
44	19643	635140
45	20075	634556
46	20493	633566
47	20966	634231
48	21396	633595
49	21872	634294
50	22354	635126
51	22802	634957
52	23171	632613
53	23564	630995
54	23936	628882
55	24309	626846
56	24706	625456
57	25131	624823
58	25614	625605
59	26100	626400
60	26474	624543
61	26969	625518
62	27423	625526
63	27838	624629
64	28308	624959
65	28787	625471
66	29224	625065
67	29690	625256
68	30087	623993
69	30526	623606
70	30994	623814
71	31435	623461
72	31870	622993
73	32266	621778
74	32749	622236
75	33195	621981
76	33628	621475
77	34084	621389
78	34536	621212
79	34977	620845
80	35434	620752
81	35850	619958
82	36229	618512
83	36611	617162
84	37033	616500
85	37493	616468
86	37860	614903
87	38283	614283
88	38646	612701
89	39112	612760
90	39534	612128
91	39980	611870
92	40411	611385
93	40902	611791
94	41339	611382
95	41715	610095
96	42086	608734
97	42556	608825
98	43007	608620
99	43424	607939
100	43851	607411
101	44256	606570
102	44719	606532
103	45159	606176
104	45539	605018
105	45976	604633
106	46399	604061
107	46841	603739
108	47222	602632
109	47616	601699
110	48056	601354
111	48448	600410
112	48907	600302
113	49353	600034
114	49715	598742
115	50153	598382
116	50621	598373
117	51035	597725
118	51380	596267
119	51807	595789
120	52307	596138
121	52674	594959
122	53015	593516
123	53393	592493
124	53765	591420
125	54126	590235
126	54558	589836
127	54925	588734
128	55380	588579
129	55787	587911
130	56183	587143
131	56614	586732
132	57008	585945
133	57441	585563
134	57852	584955
135	58231	584023
136	58709	584098
137	59098	583279
138	59476	582357
139	59953	582400
140	60473	582858
141	60846	581901
142	61248	581219
143	61632	580368
144	62023	579596
145	62387	578577
146	62759	577639
147	63127	576681
148	63598	576652
149	64034	576306
150	64385	575209
151	64833	574966
152	65284	574763
153	65656	573858
154	66083	573434
155	66462	572600
156	66847	571823
157	67210	570864
158	67575	569931
159	68014	569621
160	68405	568909
161	68815	568366
162	69243	567963
163	69603	567016
164	70069	566928
165	70505	566591
166	70908	565993
167	71281	565157
168	71698	564681
169	72036	563579
170	72395	562655
171	72774	561887
172	73216	561605
173	73579	560726
174	73991	560223
175	74375	559503
176	74787	559005
177	75175	558326
178	75614	558023
179	76037	557609
180	76457	557169
181	76841	556464
182	77252	555965
183	77729	555938
184	78254	556240
185	78737	556242
186	79181	555965
187	79582	555387
188	79954	554606
189	80384	554230
190	80753	553438
191	81182	553053
192	81658	552991
193	82081	552566
194	82503	552135
195	82872	551354
196	83229	550496
197	83675	550226
198	84030	549365
199	84500	549254
200	84903	548706
201	85299	548109
202	85698	547544
203	86144	547269
204	86512	546508
205	86876	545718
206	87311	545379
207	87770	545191
208	88136	544423
209	88544	543915
210	88974	543543
211	89364	542931
212	89794	542561
213	90148	541734
214	90523	541037
215	90983	540849
216	91466	540791
217	91854	540174
218	92283	539797
219	92663	539131
220	93013	538300
221	93433	537875
222	93900	537719
223	94285	537092
224	94713	536712
225	95137	536305
226	95555	535868
227	95955	535332
228	96329	534650
229	96747	534216
230	97114	533497
231	97516	532977
232	97900	532359
233	98255	531586
234	98696	531282
235	99152	531053
236	99541	530468
237	99988	530191
238	100349	529457
239	100836	529393
240	101309	529248
241	101768	529028
242	102183	528581
243	102711	528710
244	103111	528183
245	103505	527627
246	103945	527302
247	104329	526694
248	104685	525948
249	105066	525331
250	105504	525002
251	105906	524488
252	106351	524193
253	106777	523797
254	107143	523114
255	107562	522687
256	107937	522049
257	108302	521361
258	108668	520684
259	109063	520150
260	109510	519858
261	109873	519170
262	110309	518830
263	110767	518595
264	111206	518262
265	111588	517670
266	111964	517048
267	112437	516878
268	112878	516554
269	113227	515814
270	113673	515515
271	114126	515246
272	114519	514710
273	114928	514242
274	115369	513916
275	115814	513613
276	116174	512929
277	116532	512238
278	116927	511715
279	117343	511283
280	117705	510617
281	118075	509985
282	118462	509430
283	118904	509111
284	119395	509000
285	119743	508282
286	120174	507914
287	120613	507582
288	120985	506965
289	121435	506679
290	121835	506181
291	122244	505724
292	122665	505314
293	123065	504820
294	123446	504247
295	123964	504235
296	124361	503726
297	124760	503229
298	125183	502829
299	125642	502568
300	126028	502020
301	126402	501424
302	126860	501161
303	127323	500918
304	127819	500802
305	128186	500179
306	128639	499892
307	129033	499377
308	129469	499022
309	129820	498341
310	130207	497804
311	130599	497284
312	131021	496875
313	131382	496241
314	131782	495754
315	132226	495432
316	132658	495061
317	133088	494688
318	133460	494096
319	133916	493815
320	134345	493437
321	134761	493011
322	135206	492688
323	135660	492396
324	136034	491818
325	136468	491454
326	136906	491104
327	137304	490610
