codigo_cru,categoria_unificada
0,ativo
10,involuntario_cjc
11,involuntario_sjc
12,fim_contrato
20,outros
21,pedido_demissao
22,outros
30,outros
31,outros
32,outros
33,outros
34,outros
35,outros
40,outros
50,aposent_morte
60,aposent_morte
62,aposent_morte
63,aposent_morte
64,aposent_morte
70,aposent_morte
71,aposent_morte
72,aposent_morte
73,aposent_morte
74,aposent_morte
75,aposent_morte
76,aposent_morte
78,aposent_morte
79,aposent_morte
80,aposent_morte
81,aposent_morte
82,aposent_morte
90,outros
