municipio,uf,nome
110001,RO,Ro-Alta Floresta D Oeste
110002,RO,Ro-Ariquemes
110003,RO,Ro-Cabixi
110004,RO,Ro-Cacoal
110005,RO,Ro-Cerejeiras
110006,RO,Ro-Colorado do Oeste
110007,RO,Ro-Corumbiara
110008,RO,Ro-Costa Marques
110009,RO,Ro-Espigao D Oeste
110010,RO,Ro-Guajara-Mirim
110011,RO,Ro-Jaru
110012,RO,Ro-Ji-Parana
110013,RO,Ro-Machadinho D Oeste
110014,RO,Ro-Nova Brasilandia D Oeste
110015,RO,Ro-Ouro Preto do Oeste
110018,RO,Ro-Pimenta Bueno
110020,RO,Ro-Porto Velho
110025,RO,Ro-Presidente Medici
110026,RO,Ro-Rio Crespo
110028,RO,Ro-Rolim de Moura
110029,RO,Ro-Santa Luzia D Oeste
110030,RO,Ro-Vilhena
110032,RO,Ro-Sao Miguel do Guapore
110033,RO,Ro-Nova Mamore
110034,RO,Ro-Alvorada D Oeste
110037,RO,Ro-Alto Alegre dos Parecis
110040,RO,Ro-Alto Paraiso
110045,RO,Ro-Buritis
110050,RO,Ro-Novo Horizonte do Oeste
110060,RO,Ro-Cacaulandia
110070,RO,Ro-Campo Novo de Rondonia
110080,RO,Ro-Candeias do Jamari
110090,RO,Ro-Castanheiras
110092,RO,Ro-Chupinguaia
110094,RO,Ro-Cujubim
110100,RO,Ro-Governador Jorge Teixeira
110110,RO,Ro-Itapua do Oeste
110120,RO,Ro-Ministro Andreazza
110130,RO,Ro-Mirante da Serra
110140,RO,Ro-Monte Negro
110143,RO,Ro-Nova Uniao
110145,RO,Ro-Parecis
110146,RO,Ro-Pimenteiras do Oeste
110147,RO,Ro-Primavera da Rondonia
110148,RO,Ro-Sao Felipe D Oeste
110149,RO,Ro-Sao Francisco do Guapore
110150,RO,Ro-Seringueiras
110155,RO,Ro-Teixeiropolis
110160,RO,Ro-Theobroma
110170,RO,Ro-Urupa
110175,RO,Ro-Vale do Anari
110180,RO,Ro-Vale do Paraiso
119999,RO,Ro-Ignorado
120001,AC,Ac-Acrelandia
120005,AC,Ac-Assis Brasil
120010,AC,Ac-Brasileia
120013,AC,Ac-Bujari
120017,AC,Ac-Capixaba
120020,AC,Ac-Cruzeiro do Sul
120025,AC,Ac-Epitaciolandia
120030,AC,Ac-Feijo
120032,AC,Ac-Jordao
120033,AC,Ac-Mancio Lima
120034,AC,Ac-Manoel Urbano
120035,AC,Ac-Marechal Thaumaturgo
120038,AC,Ac-Placido de Castro
120039,AC,Ac-Porto Walter
120040,AC,Ac-Rio Branco
