iter	Logloss
0	0.6210667152
1	0.5653024889
2	0.522052066
3	0.4875499697
4	0.4626558301
5	0.4431891072
6	0.4277809731
7	0.4155837606
8	0.4050309105
9	0.3969402215
10	0.3903327278
11	0.3850535644
12	0.3808024001
13	0.3773878844
14	0.3748535903
15	0.372920516
16	0.3707988048
17	0.3690445567
18	0.3679192983
19	0.3667495015
20	0.3652981312
21	0.3642671268
22	0.363505899
23	0.362939583
24	0.3619192045
25	0.3611761113
26	0.3606741192
27	0.3603110499
28	0.360041707
29	0.3596874165
30	0.3593198522
31	0.3588191419
32	0.3584781877
33	0.3582315073
34	0.3579955464
35	0.3578469194
36	0.3576681394
37	0.3574085077
38	0.3573048808
39	0.3571609983
40	0.3570450892
41	0.3569530749
42	0.3568145095
43	0.356642689
44	0.3564703372
45	0.3563606007
46	0.356286663
47	0.3562104071
48	0.3561120393
49	0.3559477803
50	0.3558075696
51	0.3556999257
52	0.35560431
53	0.355390032
54	0.3552288968
55	0.3551410238
56	0.3550236008
57	0.3549364547
58	0.3548838536
59	0.3548006497
60	0.3547541273
61	0.3546618414
62	0.3544744493
63	0.3543517094
64	0.3543017398
65	0.3542379712
66	0.3541259336
67	0.3540842178
68	0.3539926152
69	0.3539416013
70	0.3538534165
71	0.3537496292
72	0.3537047532
73	0.3536742581
74	0.353599643
75	0.3534957073
76	0.3534345929
77	0.3533833001
78	0.3533267856
79	0.3532642146
80	0.3531919165
81	0.3530829466
82	0.3530026366
83	0.3529456885
84	0.352909518
85	0.3528698607
86	0.3527934852
87	0.3527626919
88	0.3526862745
89	0.3526514454
90	0.3525890334
91	0.3525596426
92	0.3525346911
93	0.352522225
94	0.35249379
95	0.3524381385
96	0.3524036516
97	0.3523793034
98	0.3523608296
99	0.3523236689
100	0.3522386444
101	0.3521807306
102	0.3521547877
103	0.3521094932
104	0.3520858001
105	0.3520671094
106	0.3520258366
107	0.3519683294
108	0.3519430895
109	0.3518103936
110	0.3517814761
111	0.3517563432
112	0.3516981612
113	0.3516381504
114	0.3516128046
115	0.3515734948
116	0.3515339658
117	0.3515217487
118	0.3514890563
119	0.3514803534
120	0.3514222665
121	0.3513673462
122	0.3513486071
123	0.3512804447
124	0.351248839
125	0.3511924815
126	0.351166908
127	0.3511453858
128	0.351128681
129	0.3510875123
130	0.3510636203
131	0.3510520548
132	0.3509585726
133	0.3509129912
134	0.3508946139
135	0.3508311712
136	0.350803369
137	0.3507604961
138	0.3507193843
139	0.3507016429
140	0.3506801656
141	0.3506362542
142	0.350593109
143	0.3505687151
144	0.3504765264
145	0.350448576
146	0.350393183
147	0.3503538451
148	0.3503272742
149	0.3503131709
150	0.3502820835
151	0.3502070046
152	0.3501734803
153	0.3501283428
154	0.3500806891
155	0.3500211849
156	0.3499729099
157	0.3499321386
158	0.3499018748
159	0.3498555101
160	0.3497941255
161	0.3497712832
162	0.3497604039
