iter	Passed	Remaining
0	627	941070
1	1053	789432
2	1442	719875
3	1931	722346
4	2377	711007
5	2773	690625
6	3258	695093
7	3629	676930
8	4050	671107
9	4425	659442
10	4823	652931
11	5211	646241
12	5599	640547
13	6028	639886
14	6477	641263
15	6835	633961
16	7242	631806
17	7662	630899
18	8056	627983
19	8399	621591
20	8779	618295
21	9196	617857
22	9599	616439
23	10007	615466
24	10454	616821
25	10877	616677
26	11283	615585
27	11615	610640
28	12052	611339
29	12454	610294
30	12877	610230
31	13258	608240
32	13690	608616
33	14031	605023
34	14452	604929
35	14867	604604
36	15328	606094
37	15716	604672
38	16119	603872
39	16442	600162
40	16891	601088
41	17269	599498
42	17610	596697
43	17956	594182
44	18371	593997
45	18834	595323
46	19253	595214
47	19686	595507
48	20126	595979
49	20633	598382
50	21088	599160
51	21510	598980
52	21914	598315
53	22318	597627
54	22692	596191
55	23049	594355
56	23490	594680
57	23908	594408
58	24333	594305
59	24766	594391
60	25161	593574
61	25605	593873
62	26031	593762
63	26412	592630
64	26877	593369
65	27307	593319
66	27670	591807
67	28101	591786
68	28511	591305
69	28958	591574
70	29389	591520
71	29832	591669
72	30285	592010
73	30684	591300
74	31138	591640
75	31610	592285
76	32115	593504
77	32556	593535
78	32992	593447
79	33434	593464
80	33869	593346
81	34255	592369
82	34621	591061
83	35021	590357
84	35468	590448
85	35904	590337
86	36268	589044
87	36720	589189
88	37095	588107
89	37521	587842
90	37915	587067
91	38351	586944
92	38780	586708
93	39197	586295
94	39609	585804
95	39978	584685
96	40391	584223
97	40811	583853
98	41216	583275
99	41599	582394
100	41975	581416
101	42346	580392
102	42760	579966
103	43204	579936
104	43565	578794
105	43984	578441
106	44396	577986
107	44841	577956
108	45227	577163
109	45597	576185
110	46015	575821
111	46425	575344
112	46887	575515
113	47327	575400
114	47683	574279
115	48136	574319
116	48602	574509
117	49023	574154
118	49361	572839
119	49803	572739
120	50241	572590
121	50602	571556
122	50954	570444
123	51334	569650
124	51711	568825
125	52070	567818
126	52490	567471
127	52857	566561
128	53296	566432
129	53692	565836
130	54088	565247
131	54523	565061
132	54909	564369
133	55351	564258
134	55730	563502
135	56069	562348
136	56515	562269
137	56987	562437
138	57351	561552
139	57788	561377
140	58244	561378
141	58620	560614
142	59034	560204
143	59392	559282
144	59815	558961
145	60184	558148
146	60555	557357
147	60923	556542
148	61366	556417
149	61825	556432
150	62172	555439
151	62617	555317
152	63090	555444
153	63470	554746
154	63892	554417
155	64253	553571
156	64650	553030
157	65025	552309
158	65450	552005
159	65900	551918
160	66292	551340
161	66667	550627
162	67073	550165
163	67440	549392
164	67904	549408
165	68331	549124
166	68715	548492
167	69079	547705
168	69474	547162
169	69836	546364
170	70200	545590
171	70576	544917
172	71022	544780
173	71399	544116
174	71818	543769
175	72179	542988
176	72565	542399
177	72966	541923
178	73404	541719
179	73860	541641
180	74258	541145
181	74646	540573
182	75022	539914
183	75443	539584
184	75903	539529
185	76344	539338
186	76776	539076
187	77139	538334
188	77519	537712
189	77974	537616
190	78344	536928
191	78801	536837
192	79215	536451
193	79629	536059
194	80003	535406
195	80344	534539
196	80710	533833
197	81146	533602
198	81494	532782
199	81936	532585
200	82348	532191
201	82763	531814
202	83116	531044
203	83531	530667
204	83910	530070
205	84280	529410
206	84714	529159
207	85128	528777
208	85493	528094
209	85890	527614
210	86319	527326
211	86707	526786
212	87150	526586
213	87527	525982
214	87902	525371
215	88294	524863
216	88752	524741
217	89123	524113
218	89541	523755
219	89897	523039
220	90274	522446
221	90756	522464
222	91216	522347
223	91576	521657
224	92024	521472
225	92458	521205
226	92888	520910
227	93287	520444
228	93661	519844
229	94097	519582
230	94463	518934
231	94846	518382
232	95206	517709
233	95582	517124
234	96025	516900
235	96463	516650
236	96858	516167
237	97302	515948
238	97671	515332
239	98088	514963
240	98544	514800
241	99010	514689
242	99382	514088
243	99821	513837
244	100210	513324
245	100626	512949
246	101058	512655
247	101419	512004
248	101781	511357
249	102187	510936
250	102636	510727
251	103028	510236
252	103455	509919
253	103906	509712
254	104280	509132
255	104668	508621
256	105034	508005
257	105413	507457
258	105796	506926
259	106167	506337
260	106605	506069
261	107033	505753
262	107485	505548
263	107892	505131
264	108302	504729
265	108694	504243
266	109052	503600
267	109480	503283
268	109905	502951
269	110281	502395
270	110718	502113
271	111141	501769
272	111518	501221
273	111932	500835
274	112362	500522
275	112790	500200
276	113147	499563
277	113514	498972
278	113899	498465
279	114306	498049
280	114671	497454
281	115093	497104
282	115521	496781
283	115933	496393
284	116355	496041
285	116752	495587
286	117186	495285
287	117599	494898
288	117978	494368
289	118459	494263
290	118873	493876
291	119244	493310
292	119649	492891
293	120040	492409
294	120428	491921
295	120848	491557
296	121218	490997
297	121647	490673
298	122082	490371
299	122508	490032
300	122871	489443
301	123289	489076
302	123779	488992
303	124224	488727
304	124666	488446
305	125059	487977
306	125502	487703
307	125926	487353
308	126382	487126
309	126758	486588
310	127132	486046
311	127513	485533
312	127937	485182
313	128315	484656
314	128706	484180
315	129132	483836
316	129569	483537
317	130012	483252
318	130361	482624
319	130791	482293
320	131234	482009
321	131691	481776
322	132153	481564
323	132578	481210
324	132942	480638
325	133379	480330
326	133791	479932
327	134162	479385
