feature,imp_A,imp_B,imp_ensemble
tempo_vinculo_meses,18.536585228322288,17.291252121016083,17.913918674669183
tipo_vinculo,18.753192864527833,15.951486264933255,17.352339564730542
faixa_remuneracao,7.102402339165574,13.815008853322936,10.458705596244256
tamanho_estab,6.091980354627007,7.910755942648485,7.001368148637746
natureza_juridica,8.759897576642231,5.161119484551277,6.960508530596754
qtd_dias_afastamento,8.638797451821263,3.38469668504213,6.0117470684316965
uf,4.388778161367552,6.459799843165466,5.424289002266509
cnae2,3.8562338481476113,3.7753236580662595,3.8157787531069354
natureza_setor,3.0895517954175284,3.0214387082915986,3.0554952518545635
faixa_horas,2.7571582912930044,2.1384971244153324,2.4478277078541684
cnae3,2.6746790395882067,2.0274958227861855,2.351087431187196
cbo1,1.762034106036317,2.899447808111438,2.3307409570738775
cbo2,1.7990980166633033,2.683338690191763,2.241218353427533
cbo4,2.0514197863280876,2.188912622899044,2.120166204613566
idade,1.7252228184990106,1.9644831070218365,1.8448529627604235
cnae,1.4996958463136292,2.004487840461594,1.7520918433876114
causa_afastamento,2.5287348781362593,0.9425736367471126,1.735654257441686
cbo,1.2324587282747563,2.0764194184232228,1.6544390733489895
cnae5,1.1072000766228507,2.0377540049926752,1.572477040807763
escolaridade,0.5065278872808185,1.3262827025258506,0.9164052949033346
simples,1.0040379547936085,0.7234969792923731,0.8637674670429908
intermitente,0.13431295013125324,0.21592868109409075,0.175120815612672
