feature,imp_A,imp_B,imp_ensemble
tempo_vinculo_meses,21.41676357427138,22.453262559132387,21.935013066701885
tipo_vinculo,11.142500445311233,13.580160134952063,12.361330290131647
faixa_remuneracao,5.858893460780741,9.664471192836865,7.761682326808803
tipo_vinculo_k_lag2,9.076676267830655,5.974266002558566,7.525471135194611
qtd_dias_afastamento,6.93788555056303,2.960155994930004,4.949020772746517
natureza_juridica,6.846002701943162,0.17005124012766243,3.508026971035412
tamanho_estab,1.6354691662402938,4.469574493017455,3.0525218296288745
tipo_vinculo_k_lag1,3.3497960839209235,1.4276614496353268,2.388728766778125
cnae3,1.5719267732117639,2.105378282827533,1.8386525280196484
tamanho_estab_n_lag1,2.3312720151019817,1.1868420623259386,1.7590570387139601
cbo4,1.7703883570274463,1.533408578847349,1.6518984679373978
cnae2,1.6351835665806518,1.5576207898541572,1.5964021782174045
faixa_remuneracao_k_lag1,0.22724187357300749,2.782163589620895,1.5047027315969512
tamanho_estab_n_lag3,1.3447227522307033,1.6190787050271631,1.4819007286289332
tipo_vinculo_k_lag3,0.0,2.5666169156198992,1.2833084578099496
cnae5,1.2124619089037776,1.2803664767252199,1.2464141928144987
cbo2,0.8536462980071721,1.5275780036851452,1.1906121508461587
tamanho_estab_n_lag2,1.15834380881875,1.0511470637419578,1.104745436280354
idade,0.6842304224216726,1.185077469035974,0.9346539457288233
faixa_remuneracao_n_lag2,0.28774061357046893,1.5409969340991287,0.9143687738347989
faixa_remuneracao_n_lag1,0.4294103251608902,1.2615836948512555,0.8454970100060729
causa_afastamento,1.3948060052039764,0.2610338684518716,0.827919936827924
faixa_remuneracao_n_lag3,0.3079237991725288,1.2765954256533536,0.7922596124129412
faixa_horas_n_lag1,1.1669938008233933,0.3262080659692025,0.746600933396298
natureza_juridica_k_lag1,1.231670314061396,0.2614937301923191,0.7465820221268575
cbo2_n_lag1,1.384986358898586,0.0,0.692493179449293
natureza_setor,0.10898400071609265,1.2734799039550182,0.6912319523355555
cnae_k_lag2,1.3442788260231366,0.0,0.6721394130115683
cnae5_k_lag2,1.2554341013101953,0.03143701566326918,0.6434355584867323
uf,0.8280623313334685,0.42257240548292774,0.6253173684081981
tipo_vinculo_n_lag1,0.15680011098204327,0.9299261925528204,0.5433631517674318
cnae,0.46490063515978514,0.5849923037131814,0.5249464694364833
natureza_juridica_k_lag2,0.5697465410666239,0.3043450491362184,0.43704579510142116
natureza_setor_n_lag3,0.6579730315365276,0.1764906595979362,0.4172318455672319
faixa_remuneracao_k_lag2,0.08816965401370463,0.6795761218451756,0.3838728879294401
tipo_vinculo_n_lag2,0.06086377840229419,0.7035126176929131,0.3821881980476036
faixa_remuneracao_k_lag3,0.6482147852670479,0.11436793247319361,0.3812913588701208
escolaridade,1.615517708155135e-07,0.7250640852288586,0.3625321233903147
cnae5_n_lag3,0.5606932373313833,0.1587093831226349,0.35970131022700913
intermitente_k_lag3,0.0,0.7013651331822734,0.3506825665911367
faixa_horas_k_lag2,0.6481505259826393,0.04683069535269353,0.34749061066766646
tipo_vinculo_n_lag3,0.5082244663078576,0.17982580075396323,0.3440251335309104
cnae2_k_lag3,0.2899056454622486,0.3889188480509745,0.3394122467566115
simples_k_lag3,0.3428142303876595,0.265793721260178,0.30430397582391877
simples_k_lag1,0.0,0.55128418883456,0.27564209441728
faixa_horas_n_lag2,0.23855115676657496,0.307173467274853,0.272862312020714
simples,0.3584245514475275,0.13284384900977503,0.24563420022865126
cbo1_n_lag2,0.0,0.4712587023707066,0.2356293511853533
uf_k_lag1,0.20333931583919942,0.24478078358262542,0.22406004971091242
cbo1_n_lag1,0.13320451338192138,0.30213420083479287,0.2176693571083571
faixa_horas_n_lag3,0.34445121261400474,0.08446738259481364,0.21445929760440918
simples_k_lag2,0.24357079477682203,0.144753734956239,0.19416226486653052
uf_k_lag3,0.11324861934109044,0.2641542306487397,0.18870142499491507
natureza_setor_k_lag2,0.1614310575962873,0.21542410938456263,0.18842758349042496
cbo2_n_lag2,0.0,0.36894638181567974,0.18447319090783987
cnae5_n_lag2,0.34334392593313773,0.0,0.17167196296656886
causa_afastamento_n_lag3,0.18876670788742986,0.13809541224466215,0.16343106006604602
cnae3_k_lag1,0.32586789091961094,0.0,0.16293394545980547
simples_n_lag3,0.1149424791850758,0.21002878406753142,0.1624856316263036
