feature,imp_A,imp_B,imp_ensemble
tipo_vinculo,41.90955365008102,30.061753887603416,35.98565376884222
tempo_vinculo_meses,20.299610667881883,21.314415919406585,20.807013293644232
qtd_dias_afastamento,6.766141700273201,6.250673385310151,6.5084075427916765
tamanho_estab,4.543862345974201,5.954920468992701,5.249391407483451
cnae3,4.68174102570768,5.801874288473604,5.241807657090642
faixa_remuneracao,4.914713193231535,5.227806044727531,5.071259618979533
cnae5,4.759447141725842,1.4977809155337931,3.128614028629818
cbo2,2.0195340719465085,2.676546141084892,2.3480401065157004
cbo4,2.2758537643858268,1.7764701163126688,2.026161940349248
tamanho_estab_n_lag2,1.6212051793538749,2.0395313573186273,1.830368268336251
tamanho_estab_n_lag3,1.2781674698906997,1.7309930809438392,1.5045802754172695
tipo_vinculo_k_lag2,0.0,2.7781668821217282,1.3890834410608641
tamanho_estab_n_lag1,1.3661643526386937,1.0857302806546798,1.2259473166466868
natureza_juridica,1.7082478808695818,0.3608247495606237,1.0345363152151028
cnae2,4.30013186643697e-07,1.4479968555762086,0.7239986427946976
idade,0.0,1.0445391949665193,0.5222695974832596
tipo_vinculo_k_lag1,0.0,0.975674727479123,0.4878373637395615
cbo2_n_lag1,0.9673404105862897,0.0,0.48367020529314486
cnae,0.0,0.8132797681236519,0.40663988406182594
faixa_horas,0.20586492101912598,0.5825805638984374,0.3942227424587817
cbo,0.0,0.7738328528839303,0.38691642644196517
causa_afastamento,0.5125314331481474,0.21980495771305866,0.366168195430603
tipo_vinculo_k_lag3,0.0,0.6293645515634118,0.3146822757817059
faixa_remuneracao_n_lag3,0.0,0.4821299320246697,0.24106496601233485
faixa_remuneracao_n_lag1,0.0,0.4653614469055091,0.23268072345275456
tipo_vinculo_n_lag1,0.0,0.43339086572048,0.21669543286024
faixa_remuneracao_n_lag2,0.0,0.3213207291041617,0.16066036455208085
causa_afastamento_k_lag2,0.0,0.27068116066372316,0.13534058033186158
faixa_horas_n_lag1,0.0,0.26475194152320086,0.13237597076160043
simples_n_lag2,0.0,0.2632099651574157,0.13160498257870784
simples_k_lag1,0.0,0.23229906217468974,0.11614953108734487
causa_afastamento_n_lag2,0.0,0.2225339642995044,0.1112669821497522
faixa_remuneracao_k_lag2,0.0,0.2085111757188056,0.1042555878594028
cbo1,0.09673198062258191,0.10657593535780188,0.10165395799019189
faixa_remuneracao_k_lag1,0.0,0.19072499255369596,0.09536249627684798
causa_afastamento_n_lag3,0.0,0.15343212000017506,0.07671606000008753
causa_afastamento_k_lag3,0.0,0.13422450398532357,0.06711225199266178
escolaridade,0.07328647240997818,0.057749167420563095,0.06551781991527064
uf,1.907884180959363e-06,0.12311931778509382,0.06156061283463739
natureza_setor,3.5593881253295984e-10,0.11638015605676744,0.05819007820635312
causa_afastamento_n_lag1,0.0,0.0884463715318112,0.0442231857659056
cbo4_n_lag1,0.0,0.070620034065801,0.0353100170329005
intermitente_n_lag3,0.0,0.06809559422277005,0.034047797111385024
simples_n_lag3,0.0,0.06769473933509688,0.03384736966754844
cbo_k_lag1,0.0,0.06588098898384712,0.03294049449192356
cbo4_k_lag1,0.0,0.06436640364840944,0.03218320182420472
simples_n_lag1,0.0,0.056358475161501095,0.028179237580750548
simples_k_lag3,0.0,0.056105066951735116,0.028052533475867558
intermitente_n_lag1,0.0,0.05264879054265503,0.026324395271327516
natureza_juridica_n_lag1,0.0,0.05167127343945346,0.02583563671972673
cbo2_n_lag2,0.0,0.04194468542046795,0.020972342710233974
intermitente_k_lag2,0.0,0.03909940427130207,0.019549702135651034
intermitente_k_lag3,0.0,0.03707779840046419,0.018538899200232096
simples_k_lag2,0.0,0.03403113255875883,0.017015566279379415
intermitente,0.0,0.025519775504213117,0.012759887752106559
tamanho_estab_k_lag2,0.0,0.01938094495481459,0.009690472477407295
natureza_setor_k_lag1,0.0,0.01612549450381783,0.008062747251908914
natureza_juridica_n_lag2,0.0,0.010606255694622316,0.005303127847311158
cbo4_k_lag3,0.0,0.008293673146935032,0.004146836573467516
causa_afastamento_k_lag1,0.0,0.006656674031806178,0.003328337015903089
cbo1_n_lag2,0.0,0.006162552866894757,0.0030812764334473787
tipo_vinculo_n_lag2,0.0,0.004745112897409479,0.0023725564487047397
natureza_setor_n_lag2,0.0,0.004689719914370884,0.002344859957185442
natureza_juridica_n_lag3,0.0,0.0036396605156047653,0.0018198302578023827
tipo_vinculo_n_lag3,0.0,0.0032185557106616295,0.0016092778553308147
cnae2_k_lag1,0.0,0.0029443229943065825,0.0014721614971532912
cnae2_k_lag2,0.0,0.0020576975050601997,0.0010288487525300998
cnae2_k_lag3,0.0,0.0009613745246149585,0.00048068726230747927
cbo4_k_lag2,0.0,0.0,0.0
cbo4_n_lag2,0.0,0.0,0.0
cbo_n_lag3,0.0,0.0,0.0
simples,0.0,0.0,0.0
uf_k_lag1,0.0,0.0,0.0
uf_n_lag1,0.0,0.0,0.0
cnae2_n_lag3,0.0,0.0,0.0
cnae2_n_lag2,0.0,0.0,0.0
cnae2_n_lag1,0.0,0.0,0.0
cnae3_k_lag2,0.0,0.0,0.0
cnae3_n_lag3,0.0,0.0,0.0
cnae3_k_lag3,0.0,0.0,0.0
cnae3_k_lag1,0.0,0.0,0.0
cnae3_n_lag1,0.0,0.0,0.0
cnae5_k_lag3,0.0,0.0,0.0
cnae3_n_lag2,0.0,0.0,0.0
cnae5_n_lag3,0.0,0.0,0.0
cnae5_k_lag1,0.0,0.0,0.0
cnae5_n_lag2,0.0,0.0,0.0
cnae5_k_lag2,0.0,0.0,0.0
cnae_k_lag1,0.0,0.0,0.0
cnae_n_lag1,0.0,0.0,0.0
cbo1_k_lag3,0.0,0.0,0.0
cnae5_n_lag1,0.0,0.0,0.0
cnae_k_lag3,0.0,0.0,0.0
cnae_n_lag3,0.0,0.0,0.0
cnae_k_lag2,0.0,0.0,0.0
cnae_n_lag2,0.0,0.0,0.0
cbo1_k_lag2,0.0,0.0,0.0
cbo1_k_lag1,0.0,0.0,0.0
cbo1_n_lag1,0.0,0.0,0.0
cbo1_n_lag3,0.0,0.0,0.0
cbo2_k_lag1,0.0,0.0,0.0
cbo2_k_lag2,0.0,0.0,0.0
cbo2_n_lag3,0.0,0.0,0.0
cbo2_k_lag3,0.0,0.0,0.0
cbo_k_lag2,0.0,0.0,0.0
cbo_n_lag2,0.0,0.0,0.0
cbo_k_lag3,0.0,0.0,0.0
cbo_n_lag1,0.0,0.0,0.0
cbo4_n_lag3,0.0,0.0,0.0
uf_n_lag2,0.0,0.0,0.0
uf_n_lag3,0.0,0.0,0.0
uf_k_lag2,0.0,0.0,0.0
escolaridade_k_lag2,0.0,0.0,0.0
escolaridade_n_lag2,0.0,0.0,0.0
escolaridade_k_lag1,0.0,0.0,0.0
tamanho_estab_k_lag3,0.0,0.0,0.0
tamanho_estab_k_lag1,0.0,0.0,0.0
escolaridade_k_lag3,0.0,0.0,0.0
escolaridade_n_lag3,0.0,0.0,0.0
uf_k_lag3,0.0,0.0,0.0
natureza_juridica_k_lag2,0.0,0.0,0.0
natureza_juridica_k_lag1,0.0,0.0,0.0
faixa_remuneracao_k_lag3,0.0,0.0,0.0
escolaridade_n_lag1,0.0,0.0,0.0
natureza_setor_n_lag1,0.0,0.0,0.0
natureza_setor_k_lag2,0.0,0.0,0.0
natureza_setor_k_lag3,0.0,0.0,0.0
natureza_juridica_k_lag3,0.0,0.0,0.0
intermitente_k_lag1,0.0,0.0,0.0
intermitente_n_lag2,0.0,0.0,0.0
natureza_setor_n_lag3,0.0,0.0,0.0
faixa_horas_k_lag1,0.0,0.0,0.0
faixa_horas_k_lag2,0.0,0.0,0.0
faixa_horas_n_lag2,0.0,0.0,0.0
faixa_horas_n_lag3,0.0,0.0,0.0
faixa_horas_k_lag3,0.0,0.0,0.0
