feature,imp_A,imp_B,imp_ensemble
tempo_vinculo_meses,29.352987178181486,36.73255978570021,33.04277348194085
tipo_vinculo,18.81607743592177,20.873585655967126,19.844831545944448
faixa_remuneracao,10.65705874596009,10.251052890658666,10.454055818309378
qtd_dias_afastamento,10.022253522786999,8.229118937920568,9.125686230353782
tamanho_estab,6.309499449925671,5.708018349467935,6.008758899696803
natureza_setor,1.7189840780692718,3.7485070657731514,2.7337455719212116
natureza_juridica,3.037600850404944,1.8016513862667252,2.4196261183358345
uf,2.7844423085693917,1.39461406421714,2.0895281863932658
cnae2,2.7647546104919383,1.1327733300831717,1.948763970287555
cnae5,1.8165689226499404,1.8752468071394537,1.8459078648946972
faixa_horas,1.0631591650990888,2.2549065419710406,1.6590328535350647
cbo2,2.004632253219329,0.7732953011233636,1.3889637771713463
cbo1,1.8922622297540732,0.849345102984247,1.37080366636916
cbo4,1.3622334480452867,0.842031841651365,1.102132644848326
cnae3,1.0762251476455287,1.061429123048265,1.068827135346897
idade,1.370551623411775,0.7006352339263426,1.035593428669059
cbo,1.1234277596968085,0.4395730518483639,0.7815004057725863
cnae,0.8648244636885162,0.6459696815151761,0.7553970726018462
simples,0.6763515705542195,0.6856858487376898,0.6810187096459546
escolaridade,1.2067559511956274,0.0,0.6033779755978137
intermitente,0.07934928472819168,0.0,0.03967464236409584
