categoria,mes,eventos,censuras
1,1,2265,20907
1,2,3753,38818
1,3,2199,9528
1,4,1549,10555
1,5,2042,9666
1,6,1580,10004
1,7,1696,12542
1,8,2099,10185
1,9,9901,10536
1,10,2775,22870
1,11,2176,8875
1,12,2657,5276454
2,1,693,2378
2,2,1047,5493
2,3,1319,3029
2,4,516,2503
2,5,593,3945
2,6,474,2888
2,7,977,3031
2,8,1146,3125
2,9,2434,3386
2,10,841,5442
2,11,536,2909
2,12,3642,943223
3,1,8842,69670
3,2,9457,99893
3,3,11284,106213
3,4,11550,90848
3,5,13406,107994
3,6,12683,106821
3,7,17844,118030
3,8,13659,123702
3,9,16695,107343
3,10,18572,114739
3,11,14133,115332
3,12,57454,5602822
4,1,5071,51112
4,2,6668,64680
4,3,10691,57717
4,4,11350,52861
4,5,12379,61292
4,6,13049,69496
4,7,14009,71790
4,8,13921,76661
4,9,13709,68476
4,10,13693,70209
4,11,14247,72209
4,12,25223,2862871
5,1,6928,60213
5,2,10159,69172
5,3,16213,81556
5,4,16639,62657
5,5,18710,70956
5,6,19189,78332
5,7,20817,78564
5,8,20538,83249
5,9,20853,76189
5,10,19814,76301
5,11,20849,79038
5,12,40122,3267075
6,1,10268,70246
6,2,14326,78204
6,3,25200,91876
6,4,24844,82389
6,5,28014,89617
6,6,29235,89688
6,7,31082,86958
6,8,30480,93311
6,9,30214,87243
6,10,29135,86331
6,11,30568,88851
6,12,57465,3858232
7,1,16670,90285
7,2,24346,105275
7,3,43152,122884
7,4,41024,120235
7,5,47661,128666
7,6,48152,124585
7,7,50464,117042
7,8,50072,127064
7,9,49829,120427
7,10,47006,115304
7,11,51362,123330
7,12,79981,4958241
8,1,17752,79169
8,2,27357,92176
8,3,48603,112214
8,4,44285,102074
8,5,51299,110676
8,6,51027,108560
8,7,54233,103451
8,8,53595,110374
8,9,52556,105067
8,10,51512,103528
8,11,53745,105465
8,12,72160,4345502
9,1,18449,68899
9,2,30385,81741
9,3,53790,99759
9,4,47558,85560
9,5,53741,92985
9,6,53753,92006
9,7,57505,89926
9,8,56116,94783
9,9,54675,89246
9,10,53238,89080
9,11,55300,87402
9,12,66998,3902740
10,1,23597,70101
10,2,42815,87535
10,3,70685,107242
10,4,61747,91006
10,5,69931,98192
10,6,69839,94987
10,7,72995,95977
10,8,70720,99567
10,9,69622,93839
10,10,67317,94662
10,11,70427,90186
10,12,78450,4264938
11,1,24573,61019
11,2,43522,72981
11,3,73255,91768
11,4,62749,77169
11,5,69539,82397
11,6,68773,78474
11,7,70712,80082
11,8,69388,82599
11,9,68354,78488
11,10,66131,79691
11,11,68141,75283
11,12,73330,3608326
12,1,27819,55923
12,2,46409,64257
12,3,74117,80417
12,4,62686,67086
12,5,68037,71422
12,6,66760,67142
12,7,67979,68789
12,8,67939,71575
12,9,65976,68384
12,10,63316,69532
12,11,65753,63747
12,12,69205,3068753
13,1,30232,55042
13,2,49593,57367
13,3,74609,72298
13,4,62137,59886
13,5,66311,63198
13,6,64386,58649
13,7,64934,60549
13,8,64373,62464
13,9,63163,59676
13,10,60793,61085
13,11,63469,55633
13,12,65611,2586821
14,1,34320,55704
14,2,51413,51560
14,3,73612,63527
14,4,59639,52530
14,5,61578,54768
14,6,59967,50278
14,7,60390,52366
14,8,59248,53478
14,9,57695,51947
14,10,56002,52588
14,11,59221,47586
14,12,60640,2121473
15,1,51356,77441
15,2,72045,63911
15,3,91448,71546
15,4,73388,59260
15,5,75116,60453
15,6,71674,55550
15,7,70962,58145
15,8,70380,59213
15,9,67944,56750
15,10,66960,61814
15,11,70059,53412
15,12,74472,2200087
16,1,65950,85307
16,2,82229,58089
16,3,91185,64615
16,4,70347,52813
16,5,71148,53110
16,6,67761,49436
16,7,65941,52442
16,8,65149,52751
16,9,62735,49963
16,10,63140,56147
16,11,65525,46208
16,12,71652,1771954
17,1,58259,64052
17,2,59465,34801
17,3,55231,37235
17,4,41809,30346
17,5,41851,30319
17,6,39851,27893
17,7,39097,29833
17,8,38251,29771
17,9,36039,27340
17,10,37125,29830
17,11,38741,25806
17,12,45022,927243
18,1,110768,103765
18,2,86278,40917
18,3,66408,41405
18,4,48554,35818
18,5,49758,34276
18,6,46366,32355
18,7,45923,34628
18,8,44699,34222
18,9,41947,30166
18,10,42644,33844
18,11,46707,28831
18,12,57386,1019407
19,1,97884,77687
19,2,59827,21607
19,3,34827,21547
19,4,24647,19216
19,5,26291,18732
19,6,23508,16952
19,7,22840,17250
19,8,22953,17563
19,9,21241,15137
19,10,22167,16436
19,11,25219,14421
19,12,29641,493905
20,1,116833,83799
20,2,63463,20750
20,3,32069,19867
20,4,22042,17573
20,5,24123,17960
20,6,20240,15694
20,7,19664,16398
20,8,19333,15396
20,9,17418,13762
20,10,18441,14087
20,11,20169,13207
20,12,23649,349631
21,1,109091,67934
21,2,60521,29511
21,3,39978,27859
21,4,28461,22933
21,5,27517,24265
21,6,24251,23352
21,7,23657,22039
21,8,22372,22570
21,9,20149,20159
21,10,20438,19100
21,11,21430,17083
21,12,23244,194692
22,1,23022,16369
22,2,16251,9189
22,3,15919,8988
22,4,12159,7627
22,5,11200,7604
22,6,10409,7531
22,7,10016,6879
22,8,9357,7002
22,9,8339,6122
22,10,7851,5482
22,11,8328,5152
22,12,9224,18873
23,1,50822,30731
23,2,40810,15854
23,3,39107,15589
23,4,28097,12847
23,5,27412,14046
23,6,24780,12966
23,7,22822,11395
23,8,22044,12340
23,9,19837,10260
23,10,18217,9367
23,11,18809,8607
23,12,19362,11664
