arquivo,pop,mob,evento,n
2021/CENTRO_OESTE.parquet,geral,1,0,6179
2021/CENTRO_OESTE.parquet,geral,1,1,242
2021/CENTRO_OESTE.parquet,geral,2,0,8650
2021/CENTRO_OESTE.parquet,geral,2,1,311
2021/CENTRO_OESTE.parquet,geral,3,0,8560
2021/CENTRO_OESTE.parquet,geral,3,1,336
2021/CENTRO_OESTE.parquet,geral,4,0,9326
2021/CENTRO_OESTE.parquet,geral,4,1,348
2021/CENTRO_OESTE.parquet,geral,5,0,9601
2021/CENTRO_OESTE.parquet,geral,5,1,310
2021/CENTRO_OESTE.parquet,geral,6,0,7488
2021/CENTRO_OESTE.parquet,geral,6,1,279
2021/CENTRO_OESTE.parquet,geral,7,0,7046
2021/CENTRO_OESTE.parquet,geral,7,1,231
2021/CENTRO_OESTE.parquet,geral,8,0,6908
2021/CENTRO_OESTE.parquet,geral,8,1,298
2021/CENTRO_OESTE.parquet,geral,9,0,6414
2021/CENTRO_OESTE.parquet,geral,9,1,268
2021/CENTRO_OESTE.parquet,geral,10,0,7420
2021/CENTRO_OESTE.parquet,geral,10,1,233
2021/CENTRO_OESTE.parquet,geral,11,0,6357
2021/CENTRO_OESTE.parquet,geral,11,1,247
2021/CENTRO_OESTE.parquet,geral,12,0,739437
2021/CENTRO_OESTE.parquet,geral,12,1,258
2021/CENTRO_OESTE.parquet,privado,1,0,5253
2021/CENTRO_OESTE.parquet,privado,2,0,7324
2021/CENTRO_OESTE.parquet,privado,2,1,33
2021/CENTRO_OESTE.parquet,privado,3,0,6849
2021/CENTRO_OESTE.parquet,privado,3,1,53
2021/CENTRO_OESTE.parquet,privado,4,0,7709
2021/CENTRO_OESTE.parquet,privado,4,1,54
2021/CENTRO_OESTE.parquet,privado,5,0,7351
2021/CENTRO_OESTE.parquet,privado,5,1,43
2021/CENTRO_OESTE.parquet,privado,6,0,6000
2021/CENTRO_OESTE.parquet,privado,6,1,33
2021/CENTRO_OESTE.parquet,privado,7,0,5358
2021/CENTRO_OESTE.parquet,privado,7,1,35
2021/CENTRO_OESTE.parquet,privado,8,0,5304
2021/CENTRO_OESTE.parquet,privado,8,1,31
2021/CENTRO_OESTE.parquet,privado,9,0,4949
2021/CENTRO_OESTE.parquet,privado,9,1,25
2021/CENTRO_OESTE.parquet,privado,10,0,5916
2021/CENTRO_OESTE.parquet,privado,10,1,31
2021/CENTRO_OESTE.parquet,privado,11,0,5007
2021/CENTRO_OESTE.parquet,privado,11,1,28
2021/CENTRO_OESTE.parquet,privado,12,0,93276
2021/CENTRO_OESTE.parquet,privado,12,1,34
2021/CENTRO_OESTE.parquet,privado,1,1,10
2021/MG_ES_RJ.parquet,geral,1,0,15772
2021/MG_ES_RJ.parquet,geral,1,1,304
2021/MG_ES_RJ.parquet,geral,2,0,20172
2021/MG_ES_RJ.parquet,geral,2,1,286
2021/MG_ES_RJ.parquet,geral,3,0,18782
2021/MG_ES_RJ.parquet,geral,3,1,339
2021/MG_ES_RJ.parquet,geral,4,0,22602
2021/MG_ES_RJ.parquet,geral,4,1,381
2021/MG_ES_RJ.parquet,geral,5,0,23719
2021/MG_ES_RJ.parquet,geral,5,1,394
2021/MG_ES_RJ.parquet,geral,6,0,16314
2021/MG_ES_RJ.parquet,geral,6,1,326
2021/MG_ES_RJ.parquet,geral,7,0,17064
2021/MG_ES_RJ.parquet,geral,7,1,291
2021/MG_ES_RJ.parquet,geral,8,0,17195
2021/MG_ES_RJ.parquet,geral,8,1,397
2021/MG_ES_RJ.parquet,geral,9,0,15491
2021/MG_ES_RJ.parquet,geral,9,1,356
2021/MG_ES_RJ.parquet,geral,10,0,19775
2021/MG_ES_RJ.parquet,geral,10,1,514
2021/MG_ES_RJ.parquet,geral,11,0,20402
2021/MG_ES_RJ.parquet,geral,11,1,934
2021/MG_ES_RJ.parquet,geral,12,0,1457585
2021/MG_ES_RJ.parquet,geral,12,1,641
2021/MG_ES_RJ.parquet,privado,1,0,12645
2021/MG_ES_RJ.parquet,privado,1,1,61
2021/MG_ES_RJ.parquet,privado,2,0,15918
2021/MG_ES_RJ.parquet,privado,2,1,78
2021/MG_ES_RJ.parquet,privado,3,0,14413
2021/MG_ES_RJ.parquet,privado,3,1,83
2021/MG_ES_RJ.parquet,privado,4,0,19070
2021/MG_ES_RJ.parquet,privado,4,1,124
2021/MG_ES_RJ.parquet,privado,5,0,19773
2021/MG_ES_RJ.parquet,privado,5,1,127
2021/MG_ES_RJ.parquet,privado,6,0,12685
2021/MG_ES_RJ.parquet,privado,6,1,166
2021/MG_ES_RJ.parquet,privado,7,0,13512
2021/MG_ES_RJ.parquet,privado,7,1,94
2021/MG_ES_RJ.parquet,privado,8,0,13101
2021/MG_ES_RJ.parquet,privado,8,1,101
2021/MG_ES_RJ.parquet,privado,9,0,12022
2021/MG_ES_RJ.parquet,privado,9,1,107
2021/MG_ES_RJ.parquet,privado,10,0,16334
2021/MG_ES_RJ.parquet,privado,10,1,173
2021/MG_ES_RJ.parquet,privado,11,0,17337
2021/MG_ES_RJ.parquet,privado,11,1,691
