categoria,mob,eventos,censuras
1,1,2313,44390
1,2,3753,38080
1,3,2199,9126
1,4,1549,10907
1,5,2085,15845
1,6,1647,11480
1,7,1749,14832
1,8,2167,10096
1,9,9940,9799
1,10,2797,65524
1,11,2346,23950
1,12,2147,5186911
2,1,699,8779
2,2,1049,5482
2,3,1319,3355
2,4,519,3344
2,5,609,6961
2,6,541,5070
2,7,1066,5916
2,8,1353,9277
2,9,2659,4623
2,10,1051,7463
2,11,1806,22525
2,12,1547,898557
3,1,14707,387932
3,2,18157,298569
3,3,18119,379727
3,4,19462,353765
3,5,15490,212522
3,6,17331,155654
3,7,12946,147461
3,8,12173,137466
3,9,14826,129357
3,10,17437,143374
3,11,31268,193493
3,12,13663,4224087
4,1,9017,261449
4,2,12795,201714
4,3,17792,278817
4,4,21051,291347
4,5,12174,99812
4,6,11170,69123
4,7,10954,60453
4,8,10614,57888
4,9,10590,56865
4,10,10796,79102
4,11,13624,90826
4,12,13433,2031978
5,1,13181,316091
5,2,21040,254986
5,3,25167,275427
5,4,28137,339118
5,5,19287,125380
5,6,16982,82935
5,7,16608,67998
5,8,15834,66524
5,9,16267,63656
5,10,17503,83130
5,11,20179,109763
5,12,20646,2298294
6,1,21014,403196
6,2,33203,350358
6,3,36571,272703
6,4,38634,411854
6,5,32651,166620
6,6,25838,106164
6,7,24906,85001
6,8,23257,81956
6,9,23411,80219
6,10,25580,102161
6,11,27291,132185
6,12,28475,2610529
7,1,35824,558153
7,2,61357,571642
7,3,62017,342020
7,4,58542,516774
7,5,55486,248107
7,6,43102,155578
7,7,40127,124378
7,8,37838,117894
7,9,37259,111080
7,10,38341,138933
7,11,41198,167932
7,12,38628,3200847
8,1,38612,503931
8,2,65181,531980
8,3,69204,306258
8,4,56042,329810
8,5,58715,226554
8,6,48437,153661
8,7,44819,127419
8,8,41821,115868
8,9,39776,110523
8,10,39959,133195
8,11,40135,148995
8,12,35423,2790062
9,1,38924,421741
9,2,65656,445948
9,3,75284,283358
9,4,54934,204366
9,5,59807,199270
9,6,54172,155585
9,7,49633,130167
9,8,45403,118973
9,9,42319,109259
9,10,40667,129032
9,11,40149,131908
9,12,34560,2544520
10,1,47478,401826
10,2,79807,446194
10,3,98236,315667
10,4,69035,172133
10,5,77140,222792
10,6,71648,187518
10,7,65296,161491
10,8,59221,148488
10,9,55258,130592
10,10,51802,155871
10,11,50408,148944
10,12,42816,2796716
11,1,41795,291958
11,2,77681,342206
11,3,99794,273265
11,4,69253,130133
11,5,77163,206245
11,6,72970,180692
11,7,66496,153799
11,8,59629,144162
11,9,55030,123462
11,10,50644,146359
11,11,47660,127006
11,12,40352,2348990
12,1,40466,219916
12,2,77629,273350
12,3,98497,239105
12,4,69318,108138
12,5,77495,191925
12,6,73377,170069
12,7,66607,147009
12,8,59451,140554
12,9,53420,118266
12,10,47731,134291
12,11,44894,108657
12,12,37111,1965747
13,1,40325,176319
13,2,77776,222250
13,3,97285,211054
13,4,69501,95919
13,5,75824,174163
13,6,73035,159396
13,7,65918,136995
13,8,57059,133541
13,9,51348,112769
13,10,45738,119565
13,11,41862,91881
13,12,33940,1618816
14,1,41813,148020
14,2,75864,180067
14,3,94094,182850
14,4,67315,84462
14,5,70226,147267
14,6,69939,141564
14,7,63381,125079
14,8,53877,123071
14,9,47758,107080
14,10,41023,102725
14,11,37813,75143
14,12,30622,1290477
15,1,59076,174624
15,2,98530,189273
15,3,115686,201436
15,4,84603,95292
15,5,85369,156336
15,6,86077,156515
15,7,77296,150921
15,8,66450,146918
15,9,57474,132666
15,10,48188,111418
15,11,42067,82924
15,12,34988,1279259
16,1,72131,171534
16,2,105212,158809
16,3,113694,172116
16,4,84055,87133
16,5,80526,130694
16,6,81938,131861
16,7,74804,140407
16,8,64367,138143
16,9,54696,125313
16,10,43628,90996
16,11,37113,64768
16,12,30598,981061
17,1,61813,116305
17,2,71709,86430
17,3,69347,92972
17,4,52201,51047
17,5,47695,74985
17,6,49402,73382
17,7,45699,78782
17,8,38960,75541
17,9,31314,66586
17,10,24899,49176
17,11,20199,31931
17,12,17503,497332
18,1,115609,177161
18,2,101046,93434
18,3,83234,96953
18,4,62278,58449
18,5,59102,88187
18,6,60638,83321
18,7,55609,85928
18,8,45417,81499
18,9,36227,65803
18,10,27762,51732
18,11,21871,32977
18,12,18645,554190
19,1,100872,124392
19,2,66715,46469
19,3,44795,43643
19,4,31842,27561
19,5,31277,38717
19,6,32202,38896
19,7,30013,39089
19,8,24080,38892
19,9,18460,29877
19,10,13268,23600
19,11,10000,13832
19,12,7521,285485
20,1,118450,128831
20,2,69323,41420
20,3,39640,32033
20,4,26928,20558
20,5,28625,28597
20,6,27181,27381
20,7,25594,28460
20,8,20913,27772
20,9,15757,21582
20,10,11391,16850
20,11,7692,10205
20,12,5950,214435
21,1,110015,117805
21,2,64563,66459
21,3,44323,34286
21,4,30502,22513
21,5,33797,25365
21,6,32089,23495
21,7,28791,20181
21,8,23297,19662
21,9,18898,15633
21,10,14129,11559
21,11,11234,7205
21,12,9471,127334
22,1,23169,30901
22,2,16775,14844
22,3,16479,10855
22,4,12518,7435
22,5,12439,7149
22,6,12337,5745
22,7,11684,5118
22,8,10080,4663
22,9,8441,3478
22,10,6817,2859
22,11,5844,2123
22,12,5492,11648
23,1,51061,85183
23,2,41071,10217
23,3,39344,10758
23,4,28284,7769
23,5,29165,9023
23,6,27427,9874
23,7,25417,7739
23,8,23225,6985
23,9,19861,5139
23,10,16905,4139
23,11,15590,3171
23,12,14769,5669
