categoria,prob_min,prob_max,n,positivos,prob_media,taxa_y,calib_prev/obs,lift
1,1.692376463324763e-05,0.0046052503418177,5475632,34692,0.0020505069,0.006335707001493161,0.32364294653876313,0.04767247436381764
2,0.0046052503418177,0.0068213018272072,995570,14218,0.0056079607,0.014281266008417288,0.39267952451743116,0.10745813963756234
3,0.0068213018272072,0.0383573234155774,6968986,205579,0.023212878,0.02949912655872748,0.7869005201664566,0.22196360316133948
4,0.0383573234155774,0.0503189489245414,3733384,154010,0.044494037,0.04125211872124593,1.078587911708325,0.3103979669085525
5,0.0503189489245414,0.0627626776695251,4314133,230831,0.05660459,0.05350576813464026,1.0579156648028103,0.402599482443532
6,0.0627626776695251,0.0768852457404136,5143777,340831,0.069869325,0.0662608429564501,1.0544587338083724,0.4985739297006416
7,0.0768852457404136,0.0949805676937103,6803057,549719,0.08595851,0.0808047029445733,1.06378103631227,0.6080079348197789
8,0.0949805676937103,0.1112313121557235,6056380,578124,0.10307258,0.09545702218156721,1.0797800027674431,0.718258032090919
9,0.1112313121557235,0.1264277932345867,5475635,601508,0.1187749,0.10985173409111455,1.0812291615872271,0.8265697855101837
10,0.1264277932345867,0.1442420035600662,6056377,768145,0.13521615,0.12683242803412006,1.0661007504418298,0.9543395350404228
11,0.1442420035600662,0.1610605722367764,5226744,758467,0.15249577,0.14511271261802758,1.0508780994805471,1.0918879409222353
12,0.1610605722367764,0.1777497977018356,4563023,745996,0.16920464,0.1634872320389356,1.0349715711619565,1.2301454086104135
13,0.1777497977018356,0.1949776113033294,3982279,729611,0.18610093,0.18321443575399915,1.0157547313869206,1.3785810312101547
14,0.1949776113033294,0.2130316495895385,3401530,693725,0.20366539,0.20394498946062506,0.9986290477119854,1.5345662732508547
15,0.2130316495895385,0.2397195967137815,3733386,855804,0.22555156,0.22922998050563215,0.9839531461967036,1.724820981541244
16,0.2397195967137815,0.276222288608551,3235597,842762,0.2563956,0.2604656884030984,0.9843738334928871,1.959851339420281
17,0.276222288608551,0.3096280097961426,1825210,530741,0.29170653,0.29078352627916787,1.0031742030663042,2.1879752644333337
18,0.3096280097961426,0.3762902538776398,2157072,687438,0.33963895,0.3186903357885133,1.0657334418384754,2.3979576169311176
19,0.3762902538776398,0.4368197398185725,1161498,411045,0.40430486,0.35389212895760475,1.1424522585831076,2.6628304372838305
20,0.4368197398185725,0.5246178507804871,995568,397444,0.47631505,0.399213313405011,1.193134184966378,3.0038457341082627
21,0.5246178507804871,0.672106672644615,912606,421109,0.59117633,0.46143571267337713,1.2811672673062087,3.4720327467458945
22,0.672106672644615,0.7322246326208122,248893,142075,0.7012517,0.5708276247222702,1.2284823916161036,4.295142641431809
23,0.7322246326208122,0.9725285768518912,497785,332119,0.8084837,0.6671936679490141,1.2117676750606208,5.020240523039466
