categoria,prob_min,prob_max,n,taxa_y,lift_vs_global,taxa_2021,taxa_2022,taxa_2023,taxa_2024
1,0.001581869786605239,0.026995399966835976,37088005,0.00604904469787469,0.04389604381540191,0.003467851593653944,0.005768329452288562,0.007960758448332973,0.006685687045104243
2,0.026995399966835976,0.04328424483537674,24618759,0.022138971342950307,0.1606556579817499,0.018817551526498538,0.026281359687594322,0.021925268570435696,0.020667424114238636
3,0.04328424483537674,0.06349039077758789,34530197,0.03983385904227538,0.2890619774177912,0.03431255560386319,0.0456221574103831,0.039624850373055354,0.03903631107166663
4,0.06349039077758789,0.08371482044458389,31652712,0.061889546778803664,0.44911327206298157,0.053217578376811375,0.06719398123651353,0.06285606528320219,0.06270509229978911
5,0.08371482044458389,0.11033078283071518,37088010,0.08886157547951481,0.6448409303579643,0.07707737580068104,0.09443724590608203,0.09070554154189642,0.09071900648060377
6,0.11033078283071518,0.14044088125228882,32931591,0.11803529322345829,0.8565455641154648,0.10104757058648627,0.12629296062765466,0.1176478894878828,0.12302438218252808
7,0.14044088125228882,0.173570916056633,28455446,0.15072924880530778,1.0937954735472628,0.12581545223890858,0.16412709103761963,0.15079983723494708,0.15520172264359836
8,0.173570916056633,0.2103440910577774,25258215,0.19025596226811753,1.3806285906263849,0.15040921837152105,0.20932860991964436,0.19365273563020108,0.19701109013956555
9,0.2103440910577774,0.2518818974494934,21101798,0.23369894830762764,1.695880884816282,0.1814022467711423,0.2648093181233761,0.24073192010869526,0.24224955619964114
10,0.2518818974494934,0.2989029586315155,16305935,0.28560110168475467,2.0725187363362996,0.21577331512787917,0.33581059365398686,0.30087358363857275,0.3029055896609888
11,0.2989029586315155,0.36660346388816833,13428412,0.35072479158369585,2.54510118331821,0.2684307700420698,0.43673962124501786,0.38272300162761436,0.3819333176309234
12,0.36660346388816833,0.44134721159935,7993110,0.4479145163772299,3.2503769137889655,0.3807757039549066,0.553180923509883,0.4545704085132329,0.4514332007593883
13,0.44134721159935,0.575724720954895,5755035,0.5707367548590061,4.141659856994203,0.5691546198210286,0.7472909546453325,0.47695896758443185,0.4519508508951205
14,0.575724720954895,0.888099193573998,3516968,0.7151176809115124,5.189387518576182,0.7293651129147409,0.8414993066265054,0.6449740869376458,0.6395185924467861
