K_categorias,n_cortes,IG_bits,IG_frac_%,monotonico,min_n_categoria
1,0,0.0,0.0,True,82964122
2,1,0.040867017685021656,7.22874866216025,True,30281909
3,2,0.052814382117951975,9.342054196871187,True,15265403
4,3,0.058065499922781316,10.27089640158187,True,7549736
5,4,0.06095426896547007,10.78187534096946,True,2654852
6,5,0.06251291965891903,11.057576744039396,True,2157068
7,6,0.06371544939137352,11.2702858108396,True,1742247
8,7,0.06446642313552087,11.403121548699476,True,746678
9,8,0.06500612420840646,11.498586391244572,True,746678
10,9,0.06538173621703985,11.56502639491274,True,663713
11,10,0.06561317896386665,11.605965067252026,True,663713
12,11,0.06577778538421863,11.635081418488454,True,663713
13,12,0.06589325705270282,11.655506585685776,True,663713
14,13,0.06598860273238988,11.672371774131694,True,663713
15,14,0.06606693353084564,11.686227291040396,True,663713
16,15,0.06612057340874766,11.695715362781065,True,663713
17,16,0.06615911177526834,11.702532208766144,True,248893
18,17,0.06619713084369616,11.709257198882925,True,248893
19,18,0.06623034147254103,11.715131649783212,True,248893
20,19,0.0662613470322953,11.720616057779917,True,248893
21,20,0.06629214171936143,11.726063165632187,True,248893
22,21,0.06631775991497468,11.730594631536883,True,248893
23,22,0.06633940673523098,11.734423622048835,True,248893
24,23,0.06635856598520112,11.737812599528354,False,248893
25,24,0.06637862366278152,11.741360495073188,False,248893
26,25,0.0663933724994828,11.743969338086751,False,248893
27,26,0.06640803311831378,11.746562576712037,False,248893
28,27,0.06642202314745066,11.749037198305082,False,248893
29,28,0.0664344378976236,11.751233177209034,False,248893
30,29,0.0664456293020303,11.753212765009057,False,248892
31,30,0.06645546298696448,11.754952193057365,False,248892
32,31,0.06646334394053383,11.756346212875744,False,248878
33,32,0.06647107836304039,11.757714313596425,False,248878
34,33,0.06647832904399475,11.758996847855533,False,248878
35,34,0.06648535872906725,11.760240291332492,False,165928
36,35,0.06649119456368663,11.761272560974053,False,165928
37,36,0.0664969085915404,11.762283284866896,False,165928
38,37,0.06650207162138627,11.763196545662648,False,165928
39,38,0.06650662126699713,11.764001308194535,False,165928
40,39,0.06651073281381886,11.764728577769624,False,165928
