categoria,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,8438852,8696187,8620638,8253465,8223142,8473546,9326097,9575972,9712390,9805629
2,4709167,4403858,4424172,3631686,3911603,4443830,6424211,6664639,7086079,7343978
3,7085044,7188838,7256043,6338495,6346426,7403937,8690799,8967302,9468159,9606137
4,6447565,5796360,5986533,5803134,5671905,6554075,7818483,8421033,8859121,9212383
5,6564783,6103582,6370922,6503478,6563921,7485971,8974044,10041790,10586205,11054929
6,5896713,5461438,5565161,5773094,5724101,6524620,8163725,8851880,9391366,9822607
7,5022859,4704392,4796369,5133056,4843079,5367727,7191884,7660121,8235714,8752093
8,4559442,4317483,4469848,4828810,4524832,4838859,6307585,6793919,7317852,7916618
9,4448638,4327900,4473883,4840075,4500699,4709870,5071064,5437588,5883276,6330887
10,4908289,4298130,4374334,4758190,4520046,4523919,3646636,3926699,4208681,4490321
11,5288865,5325893,5184652,5531075,5415458,5006207,2680572,2816392,2925241,3104320
12,1966359,2928908,2710106,3187789,3154347,2859132,1657286,1679456,1797236,1886842
13,1092220,1297815,1194019,1319669,1581840,1478672,1622435,1245235,1408693,1463192
14,715802,805098,788012,765401,939795,851616,913649,884496,867207,920326
