categoria,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,0.004731804752589571,0.003753369149030489,0.003511109038565359,0.003671912342270792,0.0035687088949698303,0.003467851593653944,0.005768329452288562,0.007960758448332973,0.006685687045104243,0.0062536528763223655
2,0.031761668252580554,0.024122712403533447,0.02166891341475874,0.025760762356657488,0.02603280547642488,0.018817551526498538,0.026281359687594322,0.021925268570435696,0.020667424114238636,0.019790091963783115
3,0.05603931323503425,0.04409099217425681,0.041742723961255467,0.045332843206470935,0.04523869024865334,0.03431255560386319,0.0456221574103831,0.039624850373055354,0.03903631107166663,0.03778043140546507
4,0.08111806550224775,0.07142051218350827,0.06938122616212088,0.0698417441334286,0.06979295316123947,0.053217578376811375,0.06719398123651353,0.06285606528320219,0.06270509229978911,0.059723635024727044
5,0.11951103334261011,0.1044896259278568,0.0985533961960294,0.09434105873810905,0.09393333649201445,0.07707737580068104,0.09443724590608203,0.09070554154189642,0.09071900648060377,0.08660725003299433
6,0.15965538767106352,0.13575728590162517,0.13006146632595175,0.12252667287246666,0.1227146411287991,0.10104757058648627,0.12629296062765466,0.1176478894878828,0.12302438218252808,0.11396363511234849
7,0.19196875723566997,0.16522496424617678,0.158170482713069,0.1496652286668994,0.14953462456424932,0.12581545223890858,0.16412709103761963,0.15079983723494708,0.15520172264359836,0.1455562686548235
8,0.21472145056346809,0.18794978463146236,0.1827623668634817,0.1739368498657019,0.1751258389261745,0.15040921837152105,0.20932860991964436,0.19365273563020108,0.19701109013956555,0.18828456798092316
9,0.2395895103175399,0.2120335497585434,0.20678278801658426,0.20085907759693805,0.2035921531299916,0.1814022467711423,0.2648093181233761,0.24073192010869526,0.24224955619964114,0.23225655425535158
10,0.27091844021409495,0.23882479124642578,0.23335117985960835,0.22648233887255448,0.2261023449761352,0.21577331512787917,0.33581059365398686,0.30087358363857275,0.3029055896609888,0.28312742006640507
11,0.34523910139510083,0.28643647178041315,0.2860882466171307,0.265810353321913,0.2734032837111838,0.2684307700420698,0.43673962124501786,0.38272300162761436,0.3819333176309234,0.3579447350788578
12,0.4781888759885657,0.40507383639226635,0.40354620815569575,0.34642223810923495,0.36349805522347417,0.3807757039549066,0.553180923509883,0.4545704085132329,0.4514332007593883,0.43977079161901206
13,0.5979857537858673,0.5664921425626919,0.5590631304861983,0.5137227592676649,0.5280091538967279,0.5691546198210286,0.7472909546453325,0.47695896758443185,0.4519508508951205,0.44951448613715767
14,0.7794948882512203,0.7550819900186064,0.7386778373933391,0.7189251124573917,0.765998967860012,0.7293651129147409,0.8414993066265054,0.6449740869376458,0.6395185924467861,0.6264551908780149
