categoria,T_6,T_12,T_18,T_24,T_36,T_48,T_60
1,99.8,99.7,99.5,99.4,99.0,98.7,98.4
2,99.7,99.3,99.0,98.6,97.7,96.9,96.0
3,99.1,98.1,97.1,96.1,93.9,91.7,89.5
4,98.5,97.1,95.3,93.4,89.5,85.5,81.5
5,98.1,96.2,93.9,91.5,86.6,81.7,76.8
6,97.6,95.2,92.4,89.5,83.6,77.9,72.4
7,96.8,93.9,90.4,86.8,79.8,73.2,67.1
8,96.2,92.7,88.6,84.5,76.6,69.3,62.7
9,95.8,91.8,87.2,82.6,73.9,66.0,59.0
10,95.3,90.7,85.5,80.4,70.8,62.2,54.8
11,94.7,89.5,83.5,77.6,66.7,57.3,49.5
12,94.0,88.2,81.6,75.1,63.4,53.6,45.7
13,93.3,86.7,79.4,72.4,60.0,50.0,42.1
14,92.3,85.1,77.2,69.8,57.0,47.1,39.4
15,91.0,82.9,74.4,66.7,53.8,44.0,36.7
16,89.1,79.9,71.1,63.2,50.5,41.1,34.2
17,86.8,76.8,67.9,60.3,48.3,39.5,33.0
18,83.8,73.5,65.1,58.1,47.3,39.3,33.4
19,79.2,69.0,61.3,55.1,45.7,38.8,33.6
20,74.2,63.5,55.8,49.8,41.0,34.6,29.9
21,71.7,57.0,47.2,39.9,29.9,23.6,19.3
22,71.5,49.8,36.8,28.5,19.2,14.4,11.5
23,66.7,43.5,30.5,23.1,15.4,11.6,9.3
