categoria,m_T6,a_T6,m_T12,a_T12,m_T18,a_T18,m_T24,a_T24,m_T36,a_T36,m_T48,a_T48,m_T60,a_T60
1,0.057,0.69,0.046,0.56,0.053,0.64,0.056,0.68,0.06,0.72,0.062,0.74,0.063,0.76
2,0.23,2.79,0.265,3.22,0.29,3.53,0.304,3.71,0.332,4.06,0.359,4.4,0.379,4.64
3,0.434,5.33,0.472,5.81,0.512,6.32,0.545,6.74,0.581,7.2,0.613,7.61,0.637,7.91
4,0.669,8.33,0.732,9.15,0.787,9.86,0.824,10.34,0.879,11.08,0.923,11.65,0.953,12.05
5,1.058,13.46,1.083,13.8,1.133,14.48,1.175,15.04,1.223,15.7,1.26,16.21,1.286,16.57
6,1.393,18.06,1.446,18.81,1.535,20.05,1.589,20.83,1.67,21.99,1.727,22.81,1.777,23.53
7,1.734,22.92,1.804,23.93,1.958,26.19,2.068,27.85,2.226,30.24,2.331,31.86,2.417,33.19
8,2.274,30.97,2.324,31.74,2.521,34.81,2.675,37.27,2.874,40.5,3.014,42.81,3.116,44.52
9,2.599,36.05,2.83,39.77,3.126,44.69,3.333,48.2,3.633,53.45,3.835,57.09,3.973,59.6
10,3.332,48.2,3.74,55.37,4.093,61.83,4.368,67.04,4.714,73.81,4.941,78.38,5.067,80.96
11,5.146,82.62,5.111,81.88,5.148,82.64,5.18,83.32,5.201,83.76,5.227,84.31,5.224,84.24
12,7.808,146.48,7.577,140.24,7.506,138.33,7.49,137.92,7.444,136.7,7.412,135.84,7.404,135.64
13,9.529,198.1,11.001,249.89,11.661,275.67,12.016,290.25,12.381,305.8,12.506,311.27,12.521,311.9
14,14.233,393.73,16.746,541.09,17.783,612.81,18.183,642.4,18.477,664.92,18.431,661.36,18.518,668.08
