categoria,m10_T6,a10_T6,m10_T12,a10_T12,m10_T18,a10_T18,m10_T24,a10_T24,m10_T36,a10_T36,m10_T48,a10_T48,m10_T60,a10_T60,m20_T6,a20_T6,m20_T12,a20_T12,m20_T18,a20_T18,m20_T24,a20_T24,m20_T36,a20_T36,m20_T48,a20_T48,m20_T60,a20_T60
1,4.108,62.11,2.806,39.39,2.33,31.84,2.084,28.09,1.833,24.36,1.707,22.51,1.63,21.42,6.851,121.5,4.286,65.48,3.353,48.56,2.871,40.45,2.379,32.6,2.131,28.79,1.982,26.55
2,4.299,65.71,3.024,42.97,2.572,35.63,2.345,32.06,2.122,28.65,2.016,27.07,1.957,26.19,7.052,126.54,4.513,69.85,3.605,52.95,3.142,44.95,2.679,37.34,2.454,33.76,2.323,31.73
3,4.518,69.94,3.255,46.87,2.814,39.52,2.594,35.98,2.382,32.64,2.284,31.13,2.231,30.31,7.282,132.46,4.755,74.62,3.857,57.48,3.402,49.4,2.951,41.76,2.733,38.21,2.609,36.22
4,4.783,75.19,3.529,51.62,3.102,44.28,2.893,40.8,2.695,37.59,2.608,36.19,2.562,35.47,7.561,139.79,5.041,80.42,4.157,63.03,3.713,54.88,3.278,47.26,3.072,43.77,2.957,41.86
5,5.169,83.09,3.9,58.27,3.471,50.6,3.259,46.94,3.057,43.53,2.966,42.02,2.918,41.22,7.966,150.88,5.428,88.57,4.542,70.4,4.095,61.87,3.656,53.87,3.448,50.19,3.331,48.17
6,5.553,91.27,4.28,65.36,3.884,57.98,3.696,54.57,3.528,51.59,3.46,50.41,3.429,49.87,8.369,162.34,5.825,97.27,4.973,79.03,4.551,70.58,4.148,62.87,3.966,59.48,3.869,57.71
7,5.909,99.15,4.653,72.6,4.33,66.3,4.194,63.72,4.101,61.97,4.084,61.67,4.09,61.78,8.743,173.41,6.215,106.18,5.438,88.79,5.071,81.06,4.749,74.5,4.624,72.01,4.569,70.93
8,6.465,112.06,5.208,83.9,4.933,78.22,4.833,76.19,4.788,75.27,4.801,75.55,4.826,76.04,9.327,191.57,6.795,120.1,6.069,102.81,5.741,95.39,5.472,89.51,5.381,87.57,5.35,86.9
9,6.827,120.89,5.74,95.37,5.559,91.39,5.528,90.73,5.579,91.84,5.65,93.39,5.707,94.65,9.708,204.0,7.351,134.25,6.724,118.34,6.47,112.19,6.306,108.3,6.282,107.74,6.291,107.95
10,7.602,140.91,6.697,117.68,6.59,115.07,6.61,115.57,6.721,118.27,6.817,120.64,6.88,122.21,10.523,232.23,8.354,161.9,7.804,146.4,7.607,141.04,7.514,138.56,7.526,138.86,7.55,139.5
11,9.56,199.11,8.182,156.97,7.738,144.57,7.519,138.69,7.317,133.35,7.231,131.12,7.19,130.07,12.584,314.68,9.912,210.83,9.01,181.59,8.565,168.08,8.147,155.96,7.969,150.94,7.883,148.58
12,12.397,306.5,10.809,242.68,10.276,223.41,10.006,214.05,9.752,205.45,9.647,201.96,9.6,200.43,15.573,467.92,12.673,318.64,11.686,276.67,11.196,257.32,10.745,240.34,10.566,233.78,10.49,231.03
13,14.217,392.94,14.406,402.78,14.63,414.74,14.809,424.45,14.986,434.24,15.037,437.07,15.048,437.73,17.494,592.11,16.469,523.02,16.303,512.5,16.319,513.5,16.386,517.77,16.412,519.41,16.418,519.8
14,19.27,728.63,20.522,839.32,21.169,901.58,21.446,929.42,21.589,944.05,21.605,945.71,21.607,945.88,22.833,1079.78,22.957,1094.13,23.295,1134.13,23.468,1155.08,23.56,1166.35,23.57,1167.53,23.571,1167.63
