cbo2,cnae2,tempo_faixa,uf,n,taxa_sjc
78,88,<3m,MS,51,0.0
41,12,6-12m,SE,54,0.0
41,12,6-12m,BA,63,0.0
20,35,60+m,SP,50,0.0
20,35,60+m,SC,113,0.0
76,84,24-60m,PA,88,0.0
81,85,60+m,ES,97,0.0
25,36,60+m,SE,133,0.0
02,86,60+m,ES,824,0.0
72,84,12-24m,SC,60,0.0
02,84,<3m,RN,72,0.0
03,84,12-24m,RN,1539,0.0
03,84,12-24m,PE,205,0.0
03,84,12-24m,MG,740,0.0
03,84,12-24m,DF,690,0.0
03,84,12-24m,BA,602,0.0
32,81,<3m,TO,82,0.0
72,12,3-6m,RS,53,0.0
84,49,60+m,DF,112,0.0
03,84,6-12m,MG,175,0.0
20,85,60+m,MT,80,0.0
20,85,60+m,PI,55,0.0
39,93,<3m,PE,197,0.0
03,84,24-60m,BA,2678,0.0
03,84,24-60m,DF,1861,0.0
