categoria,n,pct_total,taxa_y,prob_media,idade_media,tempo_anos,dias_afast,clt_indet%,temp_det%,estatut%,verde_amarelo%,rem_baixa%,rem_alta%,superior%,ate_fund%,publico%,semfins%,simples%,interm%,micro_peq%,grande%,cbo1_distintivo,cnae2_distintivo,uf_distintiva
1,5475632,6.6,0.63,0.21,46.3,15.92,37.0,11.8,0.1,86.7,0.1,1.4,36.7,54.6,5.5,89.0,1.3,1.5,0.0,5.1,89.6,0(12%/lift10.6); 2(28%/lift2.5),84(75%/lift5.2); 85(12%/lift2.2),DF(7%/lift2.9); RJ(10%/lift1.3)
2,995570,1.2,1.43,0.56,47.2,14.58,35.1,25.9,0.8,62.5,0.4,2.6,22.5,51.6,7.5,79.0,3.5,1.3,0.0,7.7,82.7,2(29%/lift2.6); 3(16%/lift1.5),84(68%/lift4.7); 85(9%/lift1.7),BA(7%/lift1.5); RS(6%/lift1.0)
3,6968986,8.4,2.95,2.32,38.3,7.81,13.9,40.9,21.2,23.3,2.8,18.7,15.5,39.6,7.3,40.8,13.0,3.3,0.4,11.8,75.0,2(21%/lift1.9); 3(18%/lift1.7),78(6%/lift2.5); 84(32%/lift2.2),RS(7%/lift1.1); SP(31%/lift1.1)
4,3733384,4.5,4.13,4.45,36.9,6.23,7.6,66.7,18.2,6.7,4.9,13.0,14.2,33.9,8.1,15.2,14.3,10.7,1.0,23.1,57.4,2(20%/lift1.8); 3(15%/lift1.4),86(10%/lift2.1); 10(7%/lift2.1),RS(7%/lift1.2); SC(6%/lift1.2)
5,4314133,5.2,5.35,5.66,37.2,5.52,6.4,70.8,15.7,4.6,6.0,11.2,11.9,32.1,7.8,13.6,11.7,12.3,1.2,25.7,52.4,2(18%/lift1.6); 3(13%/lift1.2),10(6%/lift1.9); 86(8%/lift1.8),RS(7%/lift1.2); SC(6%/lift1.2)
6,5143777,6.2,6.63,6.99,37.1,4.65,5.5,73.9,14.0,3.4,6.6,11.2,9.2,29.8,7.3,12.1,9.7,15.7,1.3,30.5,46.4,2(15%/lift1.4); 3(12%/lift1.1),10(5%/lift1.7); 86(7%/lift1.6),SC(6%/lift1.2); RS(7%/lift1.1)
7,6803057,8.2,8.08,8.6,36.6,3.64,4.7,76.2,14.4,2.4,5.7,12.3,6.7,25.9,6.9,9.5,7.8,20.7,1.3,37.2,38.8,4(20%/lift1.1); 2(12%/lift1.1),86(6%/lift1.3); 47(16%/lift1.2),SC(6%/lift1.2); RS(6%/lift1.1)
8,6056380,7.3,9.55,10.31,36.4,2.98,4.1,78.1,14.5,2.1,4.4,12.7,5.0,22.8,6.7,7.5,6.4,24.3,1.3,42.0,33.7,4(21%/lift1.1); 5(28%/lift1.1),46(5%/lift1.4); 82(5%/lift1.3),SC(6%/lift1.2); RS(6%/lift1.1)
9,5475635,6.6,10.99,11.88,36.5,2.63,3.6,80.0,13.7,2.1,3.3,12.4,3.9,20.7,6.7,6.5,5.2,26.7,1.2,45.1,30.6,4(22%/lift1.2); 5(29%/lift1.1),82(6%/lift1.4); 46(5%/lift1.4),SC(6%/lift1.2); SP(30%/lift1.1)
10,6056377,7.3,12.68,13.52,36.5,2.36,3.2,82.0,12.6,2.0,2.5,12.1,3.2,18.6,6.8,5.6,4.1,29.6,1.1,49.0,27.3,4(22%/lift1.2); 5(30%/lift1.1),82(6%/lift1.5); 46(5%/lift1.4),SC(6%/lift1.1); SP(29%/lift1.1)
11,5226744,6.3,14.51,15.25,36.3,2.12,2.8,83.5,11.6,2.1,2.1,11.9,2.7,16.6,6.9,5.0,3.3,32.5,0.9,53.1,24.5,5(31%/lift1.2); 4(21%/lift1.2),82(6%/lift1.5); 46(5%/lift1.4),SC(6%/lift1.0); SP(29%/lift1.0)
12,4563023,5.5,16.35,16.92,36.1,1.95,2.5,84.1,11.0,2.4,2.0,12.2,2.3,15.3,7.0,5.1,2.6,35.2,0.8,56.9,22.2,5(32%/lift1.2); 4(20%/lift1.1),82(6%/lift1.4); 56(5%/lift1.4),RJ(8%/lift1.0); SP(28%/lift1.0)
13,3982279,4.8,18.32,18.61,35.9,1.81,2.4,84.3,10.6,2.6,2.0,13.0,2.1,14.2,7.2,5.3,2.1,37.6,0.7,60.2,20.1,5(32%/lift1.3); 7(22%/lift1.2),56(6%/lift1.7); 47(18%/lift1.3),BA(5%/lift1.1); RJ(8%/lift1.0)
14,3401530,4.1,20.39,20.37,35.7,1.7,2.3,83.9,10.4,2.9,2.1,14.1,2.1,13.4,7.4,5.9,1.7,39.3,0.6,62.4,19.1,5(33%/lift1.3); 7(24%/lift1.2),56(7%/lift1.9); 47(18%/lift1.3),BA(5%/lift1.2); MG(12%/lift1.1)
15,3733386,4.5,22.92,22.56,35.6,1.6,2.5,83.4,10.1,3.5,2.0,16.0,2.2,13.3,7.9,6.9,1.4,40.1,0.6,64.1,18.6,7(26%/lift1.3); 5(32%/lift1.2),56(8%/lift2.1); 47(17%/lift1.2),BA(5%/lift1.1); MG(12%/lift1.1)
16,3235597,3.9,26.05,25.64,35.8,1.55,2.8,82.6,9.6,4.5,2.0,19.1,2.4,13.4,8.8,8.2,1.3,39.1,0.5,64.8,18.9,7(30%/lift1.6); 6(5%/lift1.4),43(5%/lift2.5); 41(7%/lift2.4),MG(13%/lift1.2); BA(5%/lift1.1)
17,1825210,2.2,29.08,29.17,36.4,1.59,2.9,82.3,9.1,5.5,2.0,20.7,2.7,13.5,10.4,9.1,1.5,35.4,0.5,63.5,20.0,7(35%/lift1.8); 6(6%/lift1.6),41(10%/lift3.5); 42(7%/lift3.5),GO(5%/lift1.4); MG(13%/lift1.2)
18,2157072,2.6,31.87,33.96,37.0,1.77,2.7,83.3,7.7,6.4,1.4,18.4,2.7,14.6,12.1,9.6,2.2,31.3,0.4,61.3,21.7,7(41%/lift2.1); 6(6%/lift1.7),42(10%/lift5.0); 41(13%/lift4.7),MG(13%/lift1.2); BA(5%/lift1.2)
19,1161498,1.4,35.39,40.43,37.0,1.93,2.1,85.5,5.8,6.8,0.7,14.6,2.6,15.7,12.8,9.4,3.4,30.6,0.3,62.1,21.5,7(42%/lift2.2); 6(5%/lift1.5),42(12%/lift6.1); 41(14%/lift5.3),MG(14%/lift1.3); BA(5%/lift1.2)
20,995568,1.2,39.92,47.63,36.7,1.86,1.9,86.4,4.2,8.6,0.3,13.0,2.4,16.5,12.3,9.8,6.0,29.6,0.3,67.6,19.5,7(39%/lift2.0); 1(7%/lift1.5),42(12%/lift6.3); 41(13%/lift4.8),BA(6%/lift1.2); MG(13%/lift1.2)
21,912606,1.1,46.14,59.12,37.0,1.82,1.6,86.7,2.6,10.4,0.1,13.1,1.6,18.6,11.9,11.1,8.2,29.9,0.3,77.4,15.0,7(35%/lift1.8); 1(8%/lift1.8),42(11%/lift5.9); 41(13%/lift4.9),BA(6%/lift1.2); MG(13%/lift1.2)
22,248893,0.3,57.08,70.13,37.3,1.93,1.8,93.3,0.9,5.6,0.0,16.5,1.1,14.5,11.9,5.8,5.3,49.9,0.1,90.4,6.6,6(7%/lift1.8); 7(33%/lift1.7),42(10%/lift5.5); 41(12%/lift4.5),GO(5%/lift1.6); BA(5%/lift1.2)
23,497785,0.6,66.72,80.85,38.3,2.22,2.0,98.4,0.2,1.3,0.0,22.4,0.8,8.4,14.3,1.3,2.3,53.9,0.1,98.0,1.5,7(43%/lift2.2); 5(26%/lift1.0),41(21%/lift7.6); 42(12%/lift6.5),BA(8%/lift1.7); MG(17%/lift1.6)
