categoria,n,pct_total,taxa_y,prob_media,idade_media,tempo_anos,dias_afast_mes,clt_indet%,temp_det%,estatut%,verde_amarelo%,rem_baixa%,rem_alta%,superior%,ate_fund%,publico%,semfins%,simples%,interm%,micro_peq%,grande%,cbo1_distintivo,cnae2_distintivo,uf_distintiva
1,37088005,11.6,0.6,1.21,44.8,12.94,1.91,21.6,5.7,71.1,0.3,6.9,28.3,52.0,5.8,75.2,3.8,1.1,0.0,5.6,85.1,0(7%/lift6.5); 2(27%/lift2.5),84(66%/lift4.6); 85(8%/lift1.6),RJ(9%/lift1.2); BA(5%/lift1.2)
2,24618759,7.7,2.21,3.56,36.6,4.31,0.76,71.6,15.4,10.3,0.4,11.2,13.5,30.9,5.3,14.8,12.3,12.5,0.3,24.9,54.9,2(16%/lift1.5); 3(14%/lift1.3),78(5%/lift2.0); 86(9%/lift1.8),SP(34%/lift1.2); RJ(9%/lift1.1)
3,34530197,10.8,3.98,5.32,36.9,4.0,0.53,74.7,16.4,4.6,0.9,16.2,9.7,25.4,7.0,10.3,10.3,18.6,0.7,33.7,45.1,2(13%/lift1.2); 3(12%/lift1.2),86(7%/lift1.5); 85(6%/lift1.2),SP(33%/lift1.2); PR(7%/lift1.1)
4,31652712,9.9,6.19,7.35,37.3,3.37,0.48,77.0,14.2,2.5,3.8,16.8,7.4,23.6,8.3,9.6,8.5,17.8,0.9,35.6,41.2,2(12%/lift1.1); 3(12%/lift1.1),86(6%/lift1.3); 85(5%/lift1.1),SC(6%/lift1.1); SP(31%/lift1.1)
5,37088010,11.6,8.89,9.66,37.0,2.62,0.45,75.5,14.4,2.4,5.8,18.4,5.0,20.9,8.1,10.0,6.5,24.1,0.7,43.2,34.5,5(28%/lift1.1); 3(11%/lift1.0),47(15%/lift1.1); 86(5%/lift1.1),SC(6%/lift1.1); RS(6%/lift1.1)
6,32931591,10.3,11.8,12.47,36.8,2.11,0.5,76.3,13.9,4.0,3.9,20.5,3.3,18.4,7.9,9.6,5.2,27.6,0.7,47.9,30.7,5(28%/lift1.1); 7(20%/lift1.0),47(16%/lift1.2); 84(8%/lift0.6),SC(6%/lift1.1); MG(11%/lift1.1)
7,28455446,8.9,15.07,15.65,36.5,1.78,0.57,78.6,12.8,5.1,2.3,18.0,2.4,15.8,8.1,8.6,4.3,29.3,0.8,49.9,28.1,7(22%/lift1.1); 5(28%/lift1.1),82(5%/lift1.3); 47(17%/lift1.2),SC(6%/lift1.1); RS(6%/lift1.0)
8,25258215,7.9,19.03,19.1,35.8,1.54,0.64,79.3,13.2,5.0,1.7,19.5,2.0,14.0,8.0,7.5,3.6,34.8,1.0,55.2,25.0,7(22%/lift1.2); 5(30%/lift1.2),82(5%/lift1.3); 47(18%/lift1.3),SC(6%/lift1.1); MG(11%/lift1.0)
9,21101798,6.6,23.37,23.02,34.9,1.32,0.77,87.1,6.7,4.3,1.5,22.4,1.8,12.1,8.1,6.3,3.1,39.3,1.4,59.4,21.8,7(23%/lift1.2); 5(30%/lift1.2),56(5%/lift1.5); 82(6%/lift1.4),BA(5%/lift1.1); MG(12%/lift1.1)
10,16305935,5.1,28.56,27.33,34.4,1.13,0.99,90.0,4.6,4.0,0.7,33.0,1.8,11.0,8.4,5.5,2.9,42.3,1.6,63.5,19.3,6(5%/lift1.5); 5(32%/lift1.3),56(7%/lift1.9); 47(19%/lift1.4),MG(13%/lift1.2); RJ(7%/lift1.0)
11,13428412,4.2,35.07,33.02,34.7,1.13,1.2,91.6,3.6,3.8,0.4,48.6,2.1,10.1,9.5,4.9,2.3,39.6,1.3,62.6,19.2,6(6%/lift1.6); 7(28%/lift1.5),41(6%/lift2.3); 01(5%/lift1.5),MG(13%/lift1.2); BA(5%/lift1.2)
12,7993110,2.5,44.79,39.85,34.1,1.05,1.33,92.7,2.6,4.4,0.1,48.9,2.9,9.2,11.0,4.7,1.9,41.5,0.8,67.7,16.1,7(36%/lift1.9); 6(6%/lift1.8),41(11%/lift3.9); 42(7%/lift3.7),MG(15%/lift1.3); BA(6%/lift1.2)
13,5755035,1.8,57.07,49.93,36.2,1.39,1.16,90.1,2.4,7.4,0.0,29.2,8.3,11.6,14.5,7.5,1.5,21.1,0.5,66.1,20.0,7(47%/lift2.4); 6(5%/lift1.5),42(15%/lift8.0); 41(20%/lift7.4),MG(16%/lift1.5); BA(5%/lift1.2)
14,3516968,1.1,71.51,66.57,36.7,1.73,0.65,97.1,0.3,2.7,0.0,34.7,5.8,7.5,14.5,2.7,1.6,44.4,0.3,85.7,9.0,7(40%/lift2.1); 6(6%/lift1.8),42(15%/lift8.1); 41(15%/lift5.6),MG(16%/lift1.4); BA(6%/lift1.3)
