categoria,n,pct_total,taxa_y,prob_media,idade_media,tempo_anos,dias_afast,clt_indet%,temp_det%,estatut%,verde_amarelo%,rem_baixa%,rem_alta%,superior%,ate_fund%,publico%,semfins%,simples%,interm%,micro_peq%,grande%,cbo1_distintivo,cnae2_distintivo,uf_distintiva
1,600669,0.87,0.07,0.26,50.3,14.48,255.7,93.0,0.8,0.1,0.0,0.8,16.7,21.8,20.3,0.0,11.4,13.8,0.1,44.4,37.7,8(5%/lift1.5); 7(29%/lift1.3),64(15%/lift11.1); 94(7%/lift4.2),DF(6%/lift2.9); RJ(12%/lift1.5)
2,208904,0.3,0.18,0.56,42.8,10.9,146.1,84.2,3.1,0.2,0.0,4.0,25.4,33.4,9.8,0.0,16.7,6.2,0.0,33.0,52.4,2(12%/lift1.6); 4(31%/lift1.6),53(10%/lift34.0); 36(6%/lift32.8),DF(10%/lift4.7); RJ(11%/lift1.5)
3,4126834,6.0,2.05,2.65,33.5,6.22,20.0,60.3,34.7,0.1,0.0,28.3,16.1,25.5,9.2,0.0,22.0,5.6,0.6,18.9,62.9,2(15%/lift2.1); 3(13%/lift1.5),78(11%/lift3.4); 86(13%/lift2.6),RS(8%/lift1.2); SP(36%/lift1.2)
4,3164126,4.6,3.95,4.45,35.9,6.25,8.1,77.3,20.7,0.0,0.0,14.0,15.6,29.2,8.8,0.0,16.9,12.7,1.1,27.0,50.8,2(17%/lift2.3); 8(5%/lift1.5),86(11%/lift2.2); 10(8%/lift2.0),RS(8%/lift1.2); PR(9%/lift1.2)
5,3725971,5.42,5.05,5.66,36.6,5.74,6.8,81.1,17.5,0.0,0.0,11.5,12.8,28.5,8.2,0.0,13.5,14.3,1.4,29.6,45.9,2(15%/lift2.0); 3(12%/lift1.4),86(9%/lift1.8); 10(7%/lift1.8),RS(7%/lift1.2); PR(8%/lift1.2)
6,4520688,6.57,6.23,6.99,36.6,4.85,5.8,83.6,15.4,0.0,0.0,10.8,9.8,26.5,7.6,0.0,11.0,17.8,1.5,34.5,39.9,2(13%/lift1.7); 1(5%/lift1.3),85(6%/lift1.6); 86(8%/lift1.6),SC(7%/lift1.2); RS(7%/lift1.1)
7,6160123,8.96,7.7,8.6,36.3,3.79,4.9,83.9,15.4,0.0,0.0,11.8,6.9,23.2,7.1,0.0,8.7,22.9,1.4,40.9,33.2,2(10%/lift1.4); 3(10%/lift1.2),85(5%/lift1.4); 86(6%/lift1.2),SC(7%/lift1.2); RS(7%/lift1.1)
8,5601661,8.15,9.27,10.31,36.1,3.07,4.3,84.2,15.3,0.0,0.0,12.2,4.9,20.5,6.8,0.0,6.9,26.3,1.4,45.3,29.1,4(21%/lift1.1); 2(8%/lift1.1),46(6%/lift1.2); 82(6%/lift1.1),SC(7%/lift1.1); RS(7%/lift1.1)
9,5120895,7.45,10.78,11.88,36.2,2.68,3.8,85.4,14.2,0.0,0.0,11.8,3.8,18.4,6.8,0.0,5.6,28.5,1.2,48.1,26.5,4(21%/lift1.1); 5(30%/lift1.1),82(7%/lift1.3); 46(6%/lift1.3),SC(6%/lift1.1); PR(7%/lift1.0)
10,5720140,8.32,12.5,13.52,36.3,2.39,3.3,86.7,13.0,0.0,0.0,11.6,3.0,16.3,6.9,0.0,4.4,31.3,1.1,51.8,23.8,4(22%/lift1.1); 5(31%/lift1.1),82(7%/lift1.4); 46(6%/lift1.3),SC(6%/lift1.1); PR(7%/lift1.0)
11,4963362,7.22,14.42,15.25,36.1,2.15,2.8,87.8,12.0,0.0,0.0,11.5,2.4,14.4,7.0,0.0,3.5,34.3,1.0,55.8,21.2,5(32%/lift1.1); 4(21%/lift1.1),82(7%/lift1.3); 46(5%/lift1.2),RJ(8%/lift1.0); SC(6%/lift1.0)
12,4329829,6.3,16.36,16.92,35.9,1.97,2.6,88.5,11.3,0.0,0.0,12.0,2.1,12.9,7.1,0.0,2.8,37.1,0.9,59.8,18.7,5(33%/lift1.2); 4(20%/lift1.1),82(6%/lift1.3); 56(6%/lift1.2),RJ(8%/lift1.0); MG(11%/lift1.0)
13,3770378,5.48,18.42,18.61,35.6,1.82,2.4,88.9,10.9,0.0,0.0,12.9,1.9,11.6,7.3,0.0,2.2,39.7,0.8,63.4,16.5,5(34%/lift1.2); 7(23%/lift1.0),56(7%/lift1.5); 47(19%/lift1.2),BA(5%/lift1.2); RJ(8%/lift1.0)
14,3199841,4.65,20.61,20.37,35.4,1.7,2.4,89.2,10.7,0.0,0.0,14.2,1.8,10.4,7.6,0.0,1.8,41.8,0.7,66.1,14.9,5(34%/lift1.2); 7(25%/lift1.1),56(7%/lift1.7); 47(19%/lift1.2),BA(5%/lift1.2); MG(11%/lift1.1)
15,3475858,5.06,23.35,22.55,35.2,1.61,2.6,89.5,10.4,0.0,0.0,16.4,1.8,9.4,8.2,0.0,1.5,43.1,0.6,68.6,13.8,7(27%/lift1.2); 5(34%/lift1.2),56(9%/lift1.9); 47(18%/lift1.1),BA(5%/lift1.2); MG(12%/lift1.1)
16,2970779,4.32,26.76,25.63,35.3,1.55,3.0,89.8,10.2,0.0,0.0,19.8,1.9,8.3,9.4,0.0,1.4,42.6,0.6,70.1,13.3,7(32%/lift1.4); 6(6%/lift1.3),43(6%/lift2.3); 41(7%/lift2.2),BA(5%/lift1.2); MG(13%/lift1.2)
17,1659184,2.41,30.01,29.17,35.9,1.59,3.2,90.3,9.6,0.0,0.0,21.8,2.0,7.8,11.2,0.0,1.6,38.9,0.5,69.2,14.1,7(39%/lift1.7); 6(6%/lift1.5),42(7%/lift3.2); 41(11%/lift3.2),GO(5%/lift1.4); BA(5%/lift1.3)
18,1950879,2.84,32.82,33.96,36.5,1.8,2.9,91.7,8.2,0.0,0.0,19.3,2.2,8.1,13.2,0.0,2.5,34.6,0.4,67.0,15.7,7(45%/lift2.0); 6(7%/lift1.6),42(11%/lift4.6); 41(14%/lift4.3),GO(5%/lift1.4); BA(6%/lift1.3)
19,1052432,1.53,36.39,40.43,36.6,1.98,2.3,93.9,6.1,0.0,0.0,15.0,2.2,9.4,13.9,0.0,3.8,33.7,0.3,67.7,15.8,7(47%/lift2.1); 6(6%/lift1.4),42(13%/lift5.6); 41(16%/lift4.8),BA(6%/lift1.4); MG(13%/lift1.2)
20,897708,1.31,41.5,47.62,36.2,1.88,2.1,95.6,4.4,0.0,0.0,13.6,2.1,10.5,13.5,0.0,6.6,32.9,0.3,73.9,13.2,7(43%/lift1.9); 6(6%/lift1.4),42(13%/lift5.8); 41(15%/lift4.4),BA(6%/lift1.4); MG(14%/lift1.3)
21,810979,1.18,48.58,59.17,36.5,1.82,1.8,97.4,2.5,0.0,0.0,14.3,1.5,12.0,13.1,0.0,9.3,33.7,0.3,85.8,7.4,7(39%/lift1.8); 6(7%/lift1.7),42(13%/lift5.5); 41(15%/lift4.6),BA(6%/lift1.4); MG(14%/lift1.3)
22,234418,0.34,58.53,70.14,37.2,1.95,2.0,99.1,0.9,0.0,0.0,17.3,1.1,11.2,12.4,0.0,5.7,52.9,0.1,95.1,2.6,6(7%/lift1.6); 7(35%/lift1.6),42(11%/lift4.9); 41(13%/lift3.9),BA(6%/lift1.3); MG(13%/lift1.2)
23,491137,0.71,67.03,80.9,38.3,2.23,2.1,99.8,0.2,0.0,0.0,22.7,0.8,7.6,14.4,0.0,2.4,54.7,0.1,99.0,0.6,7(44%/lift1.9); 5(27%/lift1.0),41(21%/lift6.4); 42(12%/lift5.4),BA(8%/lift1.8); MG(17%/lift1.6)
