categoria,t,S_atual,S_mob,delta
1,0,1.0,1.0,0.0
1,1,0.999586349119152,0.9995775830077697,-1e-05
1,2,0.9988983206754322,0.9988865784525381,-1e-05
1,3,0.9984922906428076,0.9984788352851587,-1e-05
1,4,0.9982057737583188,0.9981911288862335,-1e-05
1,5,0.9978273270000376,0.9978030799829475,-2e-05
1,6,0.9975339767015532,0.9974956406361591,-4e-05
1,7,0.9972185018841762,0.997168458441398,-5e-05
1,8,0.9968271490417764,0.9967619506627196,-7e-05
1,9,0.9949776111265942,0.9948937552343432,-8e-05
1,10,0.9944582049722932,0.9943670919112981,-9e-05
1,11,0.9940491549178676,0.9939198000884183,-0.00013
1,12,0.9935488455656648,0.9935085605511478,-4e-05
2,0,1.0,1.0,0.0
2,1,0.999303916349428,0.9992978896511546,-1e-05
2,2,0.998249737755376,0.9982348412882797,-1e-05
2,3,0.9969142954052383,0.9968906965584882,-2e-05
2,4,0.9963902509757964,0.9963599824639174,-3e-05
2,5,0.99578646572226,0.9957350924207048,-5e-05
2,6,0.9953018901394356,0.995175965897799,-0.00013
2,7,0.994300120322989,0.99406841739596,-0.00023
2,8,0.9931213815232468,0.9926539366582531,-0.00047
2,9,0.990609718190948,0.9898466831029308,-0.00076
2,10,0.9897388119925976,0.9887315858533049,-0.00101
2,11,0.9891805730987336,0.9867999743889498,-0.00238
2,12,0.9853758114408144,0.9851039708600469,-0.00027
3,0,1.0,1.0,0.0
3,1,0.9987312357924094,0.9978896499433346,-0.00084
3,2,0.9973605026183362,0.9951303254096142,-0.00223
3,3,0.9957008639048212,0.992245227838722,-0.00346
3,4,0.993975025261977,0.9889451903929561,-0.00503
3,5,0.9919441208096766,0.9861490551762552,-0.0058
3,6,0.9899905243268772,0.9828939685955215,-0.0071
3,7,0.98719551126725,0.9803879287118379,-0.00681
3,8,0.985015187825703,0.9779608567659666,-0.00705
3,9,0.9822957263060712,0.9749195914369502,-0.00738
3,10,0.9792156932033808,0.9712426524489485,-0.00797
3,11,0.976825386729906,0.9644373324717487,-0.01239
3,12,0.9669102296299376,0.9613278740861522,-0.00558
4,0,1.0,1.0,0.0
4,1,0.9986417148624412,0.9975847649210475,-0.00106
4,2,0.9968308421484658,0.9938988280703439,-0.00293
4,3,0.9938753366041718,0.9884551022497876,-0.00542
4,4,0.9906864573225272,0.9814058548897158,-0.00928
4,5,0.9871555383993575,0.9768792102643697,-0.01028
4,6,0.9833664064960592,0.9725618597456372,-0.0108
4,7,0.9792132846291886,0.9682084036211785,-0.011
4,8,0.974994558465681,0.963882733382802,-0.01111
4,9,0.9707386701213718,0.9594585585353348,-0.01128
4,10,0.9663925745769684,0.9548338133739368,-0.01156
4,11,0.9617639097335472,0.948782884558815,-0.01298
4,12,0.95336440088958,0.9425518627796818,-0.01081
5,0,1.0,1.0,0.0
5,1,0.9983941153413676,0.9969446931747352,-0.00145
5,2,0.996005910744384,0.9916808417268689,-0.00433
5,3,0.9921312568723684,0.9849516041782208,-0.00718
5,4,0.9880751118977352,0.9768202592155957,-0.01125
5,5,0.983442499289592,0.9706249224598555,-0.01282
5,6,0.9786048636183884,0.9649338530599678,-0.01367
5,7,0.9732487166865323,0.9592030527559987,-0.01405
5,8,0.967852272020534,0.9536023286833404,-0.01425
5,9,0.9622463630193188,0.9477028744727098,-0.01454
5,10,0.956803923284418,0.9411966788190675,-0.01561
5,11,0.950948944365038,0.9334411365831043,-0.01751
5,12,0.939412294584026,0.9251305180652062,-0.01428
6,0,1.0,1.0,0.0
6,1,0.9980038014867284,0.9959146751501863,-0.00209
6,2,0.9951800488078536,0.9889082368563742,-0.00627
6,3,0.9901348095584394,0.980567528118869,-0.00957
6,4,0.9850666909813192,0.9711595898996519,-0.01391
6,5,0.9792527016956696,0.9622929320961537,-0.01696
6,6,0.9730678382260624,0.9549302067265697,-0.01814
6,7,0.9663614598719764,0.9476008679655354,-0.01876
6,8,0.9596547573591518,0.9405712336785561,-0.01908
6,9,0.9528612372346053,0.9333036442321944,-0.01956
6,10,0.9461726301556872,0.9251450303682861,-0.02103
6,11,0.9390049043806168,0.9161229422976974,-0.02288
6,12,0.925224492660754,0.9062379247752053,-0.01899
7,0,1.0,1.0,0.0
7,1,0.997549630996771,0.9947341320232949,-0.00282
7,2,0.993922693516391,0.984904350133135,-0.00902
7,3,0.9873910745151908,0.973950274487138,-0.01344
7,4,0.9810623377725252,0.9629262002586462,-0.01814
7,5,0.9735680248796932,0.9513029492967552,-0.02227
7,6,0.9658358233665116,0.9417521059804865,-0.02408
7,7,0.9575609626776552,0.9325226269028856,-0.02504
7,8,0.9491824531772458,0.9235441943129667,-0.02564
7,9,0.940653558931956,0.9144269856260528,-0.02623
7,10,0.9324276019874352,0.9047575937197349,-0.02767
7,11,0.9232405433685362,0.8939491064194887,-0.02929
7,12,0.9085842416217774,0.8832895192694806,-0.02529
8,0,1.0,1.0,0.0
8,1,0.9970688761273236,0.9936245744157401,-0.00344
8,2,0.9924918141416272,0.9818785900159488,-0.01061
8,3,0.9842317643323104,0.9680582923303858,-0.01617
8,4,0.9765568449596664,0.9561117241178375,-0.02045
8,5,0.9675023260333484,0.9426019264439937,-0.0249
8,6,0.9583102185273548,0.9308045847493193,-0.02751
8,7,0.9483370534676036,0.9194311421236124,-0.02891
8,8,0.9382794529629644,0.9084316562340751,-0.02985
8,9,0.928194196403819,0.8976068984525181,-0.03059
8,10,0.9180897947485992,0.886355307118496,-0.03173
8,11,0.9073089085846944,0.8745548383185991,-0.03275
8,12,0.8924885328195337,0.8635905769483353,-0.0289
9,0,1.0,1.0,0.0
9,1,0.996630710410756,0.9928914180729723,-0.00374
9,2,0.991010626674342,0.9798924811012658,-0.01112
9,3,0.9809073599982848,0.9635113507318427,-0.0174
9,4,0.9718006792216032,0.9507410112493818,-0.02106
9,5,0.96133357768745,0.9361065807059478,-0.02523
9,6,0.9506631173636366,0.9221226002181449,-0.02854
9,7,0.939024246208824,0.9087268720164504,-0.0303
9,8,0.9274420105376794,0.8959800067053976,-0.03146
9,9,0.9159140286308052,0.883638903617153,-0.03228
9,10,0.9044535810433638,0.8713359385436608,-0.03312
9,11,0.8922913894900042,0.8586200081495766,-0.03367
9,12,0.8772320232262731,0.8471143908435415,-0.03012
10,0,1.0,1.0,0.0
