categoria,mes,n_risco,eventos,censuras,S,S_lo,S_hi
1,0,5475632,0,0,1.0,1.0,1.0
1,1,5475632,2265,20907,0.9995863491191519,0.9995693171022297,0.999603381136074
1,2,5452460,3753,38818,0.9988983206754322,0.9988705013381042,0.9989261400127601
1,3,5409889,2199,9528,0.9984922906428076,0.998459714937857,0.9985248663477583
1,4,5398162,1549,10555,0.9982057737583189,0.9981702195542708,0.998241327962367
1,5,5386058,2042,9666,0.9978273270000376,0.9977881800541453,0.99786647394593
1,6,5374350,1580,10004,0.9975339767015532,0.9974922543701779,0.9975756990329285
1,7,5362766,1696,12542,0.9972185018841762,0.9971741734188483,0.997262830349504
1,8,5348528,2099,10185,0.9968271490417763,0.996779781652247,0.9968745164313055
1,9,5336244,9901,10536,0.9949776111265942,0.9949179440535766,0.9950372781996119
1,10,5315807,2775,22870,0.9944582049722932,0.9943955174523954,0.994520892492191
1,11,5290162,2176,8875,0.9940491549178676,0.9939841797799989,0.9941141300557363
1,12,5279111,2657,5276454,0.9935488455656647,0.9934811754430319,0.9936165156882975
2,0,995570,0,0,1.0,1.0,1.0
2,1,995570,693,2378,0.999303916349428,0.9992521080088487,0.9993557246900072
2,2,992499,1047,5493,0.9982497377553761,0.9981675693819259,0.9983319061288263
2,3,985959,1319,3029,0.9969142954052383,0.9968051128600736,0.9970234779504031
2,4,981611,516,2503,0.9963902509757963,0.9962721333298058,0.9965083686217867
2,5,978592,593,3945,0.9957864657222599,0.9956588133383127,0.9959141181062071
2,6,974054,474,2888,0.9953018901394356,0.9951670516108377,0.9954367286680335
2,7,970692,977,3031,0.994300120322989,0.9941515038919538,0.9944487367540241
2,8,966684,1146,3125,0.9931213815232467,0.9929580212140374,0.993284741832456
2,9,962413,2434,3386,0.990609718190948,0.9904187122398842,0.9908007241420118
2,10,956593,841,5442,0.9897388119925976,0.9895391103338717,0.9899385136513236
2,11,950310,536,2909,0.9891805730987335,0.988975468184241,0.9893856780132261
2,12,946865,3642,943223,0.9853758114408144,0.9851371571352753,0.9856144657463536
3,0,6968986,0,0,1.0,1.0,1.0
3,1,6968986,8842,69670,0.9987312357924094,0.9987048064686552,0.9987576651161636
3,2,6890474,9457,99893,0.9973605026183362,0.997322308486925,0.9973986967497473
3,3,6781124,11284,106213,0.9957008639048213,0.9956519751859131,0.9957497526237294
3,4,6663627,11550,90848,0.993975025261977,0.9939169668011599,0.9940330837227941
3,5,6561229,13406,107994,0.9919441208096766,0.9918767669682604,0.9920114746510929
3,6,6439829,12683,106821,0.9899905243268773,0.9899152088756243,0.9900658397781302
3,7,6320325,17844,118030,0.98719551126725,0.9871099686703253,0.9872810538641748
3,8,6184451,13659,123702,0.985015187825703,0.984922347603226,0.98510802804818
3,9,6047090,16695,107343,0.9822957263060712,0.9821943911442769,0.9823970614678655
3,10,5923052,18572,114739,0.9792156932033809,0.9791054178155704,0.9793259685911914
3,11,5789741,14133,115332,0.9768253867299059,0.9767085508557719,0.97694222260404
3,12,5660276,57454,5602822,0.9669102296299377,0.9667692274941859,0.9670512317656894
4,0,3733384,0,0,1.0,1.0,1.0
4,1,3733384,5071,51112,0.9986417148624411,0.9986043550173881,0.9986790747074942
4,2,3677201,6668,64680,0.9968308421484658,0.9967736010992968,0.9968880831976349
4,3,3605853,10691,57717,0.9938753366041718,0.9937954204866204,0.9939552527217232
4,4,3537445,11350,52861,0.9906864573225271,0.990587581242769,0.9907853334022853
4,5,3473234,12379,61292,0.9871555383993577,0.9870390817358358,0.9872719950628795
4,6,3399563,13049,69496,0.9833664064960591,0.9832334823037123,0.9834993306884059
4,7,3317018,14009,71790,0.9792132846291886,0.9790641878090094,0.9793623814493677
4,8,3231219,13921,76661,0.974994558465681,0.9748304580107272,0.9751586589206347
4,9,3140637,13709,68476,0.9707386701213718,0.9705604909455192,0.9709168492972244
4,10,3058452,13693,70209,0.9663925745769684,0.9662008986133702,0.9665842505405665
4,11,2974550,14247,72209,0.9617639097335473,0.961558634600489,0.9619691848666057
4,12,2888094,25223,2862871,0.9533644008895799,0.9531362416311903,0.9535925601479694
5,0,4314133,0,0,1.0,1.0,1.0
5,1,4314133,6928,60213,0.9983941153413676,0.9983563305100845,0.9984319001726506
5,2,4246992,10159,69172,0.9960059107443839,0.9959461404812305,0.9960656810075373
5,3,4167661,16213,81556,0.9921312568723684,0.992047065683122,0.9922154480616148
5,4,4069892,16639,62657,0.9880751118977353,0.9879711249477773,0.9881790988476934
5,5,3990596,18710,70956,0.9834424992895919,0.9833196256472679,0.9835653729319159
5,6,3900930,19189,78332,0.9786048636183884,0.9784648211506379,0.9787449060861388
5,7,3803409,20817,78564,0.9732487166865323,0.9730916720890644,0.9734057612840002
5,8,3704028,20538,83249,0.9678522720205341,0.9676796243722657,0.9680249196688026
5,9,3600241,20853,76189,0.9622463630193189,0.9620586962604049,0.9624340297782329
5,10,3503199,19814,76301,0.9568039232844181,0.9566025978978462,0.95700524867099
5,11,3407084,20849,79038,0.9509489443650381,0.9507337346126811,0.9511641541173951
5,12,3307197,40122,3267075,0.9394122945840259,0.9391719049132259,0.9396526842548258
6,0,5143777,0,0,1.0,1.0,1.0
6,1,5143777,10268,70246,0.9980038014867285,0.9979652285267256,0.9980423744467314
6,2,5063263,14326,78204,0.9951800488078535,0.9951199524071989,0.9952401452085081
6,3,4970733,25200,91876,0.9901348095584394,0.9900485786668204,0.9902210404500583
6,4,4853657,24844,82389,0.9850666909813192,0.9849603364775251,0.9851730454851132
6,5,4746424,28014,89617,0.9792527016956695,0.9791270586455594,0.9793783447457796
6,6,4628793,29235,89688,0.9730678382260625,0.9729243732744892,0.9732113031776357
6,7,4509870,31082,86958,0.9663614598719763,0.9662007740553307,0.9665221456886219
6,8,4391830,30480,93311,0.9596547573591518,0.9594784265426336,0.9598310881756701
6,9,4268039,30214,87243,0.9528612372346053,0.9526702387901128,0.9530522356790977
6,10,4150582,29135,86331,0.9461726301556872,0.9459681123974578,0.9463771479139166
6,11,4035116,30568,88851,0.9390049043806168,0.9387867211257863,0.9392230876354473
6,12,3915697,57465,3858232,0.9252244926607539,0.9249821588756065,0.9254668264459013
7,0,6803057,0,0,1.0,1.0,1.0
7,1,6803057,16670,90285,0.997549630996771,0.9975124785844713,0.9975867834090706
7,2,6696102,24346,105275,0.993922693516391,0.9938640553351175,0.9939813316976644
7,3,6566481,43152,122884,0.9873910745151909,0.9873064198261536,0.9874757292042282
7,4,6400445,41024,120235,0.9810623377725252,0.9809584076614793,0.981166267883571
7,5,6239186,47661,128666,0.9735680248796933,0.9734450227884718,0.9736910269709148
7,6,6062859,48152,124585,0.9658358233665116,0.9656957444294391,0.9659759023035842
7,7,5890122,50464,117042,0.9575609626776553,0.9574045809908007,0.95771734436451
7,8,5722616,50072,127064,0.9491824531772458,0.9490110827400727,0.9493538236144189
7,9,5545480,49829,120427,0.9406535589319561,0.9404680862063034,0.9408390316576088
7,10,5375224,47006,115304,0.9324276019874351,0.9322294030162546,0.9326258009586157
7,11,5212914,51362,123330,0.9232405433685362,0.9230289702875621,0.9234521164495103
7,12,5038222,79981,4958241,0.9085842416217774,0.9083529259604175,0.9088155572831373
8,0,6056380,0,0,1.0,1.0,1.0
