pop,mob,n_risco,eventos,censuras,S,S_lo,S_hi
geral,0,37088005,0,0,1.0,1.0,1.0
geral,1,37088005,14986,580016,0.999595934049297,0.9995894659347399,0.9996024021638542
geral,2,36493003,20827,592718,0.9990254525101799,0.9990153636775341,0.9990355413428258
geral,3,35879458,19060,631616,0.9984947470261438,0.9984821607901853,0.9985073332621024
geral,4,35228782,15650,575924,0.9980511766866709,0.9980368048928242,0.9980655484805175
geral,5,34637208,17012,639022,0.9975609857157994,0.9975448432279161,0.9975771282036827
geral,6,33981174,16704,547495,0.9970706183522293,0.9970528532787009,0.9970883834257578
geral,7,33416975,22073,466433,0.9964120207455073,0.9963922565993591,0.9964317848916554
geral,8,32928469,15749,456286,0.9959354576561416,0.9959143479388548,0.9959565673734283
geral,9,32456434,26549,468738,0.9951207935909114,0.9950975374945937,0.9951440496872291
geral,10,31961147,21190,570129,0.9944610359915927,0.9944361564811124,0.9944859155020731
geral,11,31369828,13491,498173,0.9940333551692254,0.9940074607734247,0.9940592495650261
geral,12,30858164,21056,30837108,0.9933550787064247,0.993327629043294,0.9933825283695554
privado,0,9203699,0,0,1.0,1.0,1.0
privado,1,9203699,4552,450658,0.9995054162462288,0.9994910518503046,0.999519780642153
privado,2,8748489,5335,484826,0.9988958982602459,0.9988741396349289,0.998917656885563
privado,3,8258328,5572,482725,0.9982219303644314,0.9981938990012968,0.998249961727566
privado,4,7770031,4789,492639,0.9976066838069189,0.9975736952245439,0.9976396723892939
privado,5,7272603,5345,528150,0.9968734927163357,0.9968351165585929,0.9969118688740786
privado,6,6739108,5390,453354,0.9960761842111535,0.9960323311203101,0.9961200373019969
privado,7,6280364,4548,380325,0.9953548638409023,0.9953062893606307,0.995403438321174
privado,8,5895491,4239,372266,0.9946391797243763,0.9945860766175484,0.9946922828312043
privado,9,5518986,3416,391133,0.9940235435481043,0.9939666013410041,0.9940804857552045
privado,10,5124437,3361,368768,0.9933715864394764,0.993310564545961,0.9934326083329919
privado,11,4752308,3412,409743,0.9926583784881122,0.9925928756163737,0.9927238813598508
privado,12,4339153,6316,4332837,0.9912134812193294,0.9911390089326156,0.9912879535060432
