categoria,mob,n_risco,eventos,censuras,S,S_lo,S_hi
1,0,37088005,0,0,1.0,1.0,1.0
1,1,37088005,14986,580016,0.999595934049297,0.9995894659347399,0.9996024021638542
1,2,36493003,20827,592718,0.9990254525101799,0.9990153636775341,0.9990355413428258
1,3,35879458,19060,631616,0.9984947470261438,0.9984821607901853,0.9985073332621024
1,4,35228782,15650,575924,0.9980511766866709,0.9980368048928242,0.9980655484805175
1,5,34637208,17012,639022,0.9975609857157994,0.9975448432279161,0.9975771282036827
1,6,33981174,16704,547495,0.9970706183522293,0.9970528532787009,0.9970883834257578
1,7,33416975,22073,466433,0.9964120207455073,0.9963922565993591,0.9964317848916554
1,8,32928469,15749,456286,0.9959354576561416,0.9959143479388548,0.9959565673734283
1,9,32456434,26549,468738,0.9951207935909114,0.9950975374945937,0.9951440496872291
1,10,31961147,21190,570129,0.9944610359915927,0.9944361564811124,0.9944859155020731
1,11,31369828,13491,498173,0.9940333551692254,0.9940074607734247,0.9940592495650261
1,12,30858164,21056,30837108,0.9933550787064247,0.993327629043294,0.9933825283695554
2,0,24618759,0,0,1.0,1.0,1.0
2,1,24618759,38013,1539672,0.9984559335423853,0.9984404232338014,0.9984714438509691
2,2,23041074,46589,1571200,0.996437057881997,0.9964130786768552,0.9964610370871387
2,3,21423285,63894,1483242,0.9934652284274427,0.9934320471021983,0.993498409752687
2,4,19876149,47961,1373284,0.991068004205557,0.99102857220192,0.991107436209194
2,5,18454904,55236,1372773,0.9881017123039412,0.9880552826785461,0.9881481419293362
2,6,17026895,56893,1193892,0.9848001079469455,0.9847464897402567,0.9848537261536343
2,7,15776110,47393,1105597,0.9818416706949278,0.9817819631982792,0.9819013781915764
2,8,14623120,44830,993123,0.9788316453311713,0.9787659401036386,0.978897350558704
2,9,13585167,37809,1029527,0.976107450208776,0.9760364212027915,0.9761784792147604
2,10,12517831,32681,980652,0.973559072012883,0.9734830443562548,0.9736350996695113
2,11,11504498,30117,1073467,0.9710104446349817,0.97092934993018,0.9710915393397833
2,12,10400914,43618,10357296,0.96693834735833,0.9668490410279925,0.9670276536886674
