categoria,n,eventos_total,S12,risco_deslig_12m_KM,mediana_meses,RMST12_meses,meses_perdidos
1,5475632,34692,0.99355,0.00645,,11.9681,0.0319
2,995570,14218,0.98538,0.01462,,11.9389,0.0611
3,6968986,205579,0.96691,0.03309,,11.8782,0.1218
4,3733384,154010,0.95336,0.04664,,11.8037,0.1963
5,4314133,230831,0.93941,0.06059,,11.7478,0.2522
6,5143777,340831,0.92522,0.07478,,11.6848,0.3152
7,6803057,549719,0.90858,0.09142,,11.6024,0.3976
8,6056380,578124,0.89249,0.10751,,11.5164,0.4836
9,5475635,601508,0.87723,0.12277,,11.4315,0.5685
10,6056377,768145,0.85919,0.14081,,11.333,0.667
11,5226744,758467,0.83942,0.16058,,11.2256,0.7744
12,4563023,745996,0.8192,0.1808,,11.1102,0.8898
13,3982279,729611,0.79687,0.20313,,10.9825,1.0175
14,3401530,693725,0.77299,0.22701,,10.8372,1.1628
15,3733386,855804,0.74295,0.25705,,10.6515,1.3485
16,3235597,842762,0.7056,0.2944,,10.4013,1.5987
17,1825210,530741,0.66848,0.33152,,10.1233,1.8767
18,2157072,687438,0.63438,0.36562,,9.8095,2.1905
19,1161498,411045,0.59081,0.40919,,9.3309,2.6691
20,995568,397444,0.52905,0.47095,,8.729,3.271
21,912606,421109,0.41287,0.58713,11.0,8.1947,3.8053
22,248893,142075,0.19323,0.80677,8.0,7.5383,4.4617
23,497785,332119,0.06504,0.93496,7.0,6.7933,5.2067
