categoria,n,eventos_12m,S12,risco_deslig_12m_KM,RMST12_meses,mediana_mob
1,37088005,224347,0.9933550787064247,0.006644921293575301,11.9657615774937,
2,24618759,545034,0.96693834735833,0.03306165264167005,11.833678327191008,
3,34530197,1375471,0.9410388376529464,0.05896116234705362,11.694344934510264,
4,31652712,1958972,0.911675883682236,0.08832411631776405,11.53274041476802,
5,37088010,3295699,0.8756251271461946,0.12437487285380544,11.317693327773346,
6,32931591,3887090,0.8413664694381707,0.15863353056182927,11.102936369112914,
7,28455446,4289068,0.8073237196673133,0.1926762803326867,10.899893944522823,
8,25258215,4805526,0.759672912998939,0.24032708700106098,10.609454874769078,
9,21101798,4931468,0.7091955921914699,0.2908044078085301,10.348375236830304,
10,16305935,4656993,0.6314759666635495,0.36852403333645045,9.900632345633705,
11,13428412,4709677,0.5601663772168849,0.4398336227831151,9.24491043127949,
12,7993110,3580230,0.43224889945662714,0.5677511005433729,8.273255703279025,10.0
13,5755035,3284610,0.2010834029665153,0.7989165970334847,7.292780045295325,7.0
14,3516968,2515046,0.040694221461413896,0.9593057785385861,6.002095053894681,6.0
