categoria,shape_p,escala_lambda_meses,media_meses,q1_meses,mediana_meses,q3_meses,IQR_meses
1,1.051,1573.98,1543.2,481.0,1110.6,2147.7,1666.7
2,1.1287,594.6,569.1,197.2,429.7,794.2,597.0
3,1.2736,208.51,193.4,78.4,156.4,269.5,191.1
4,1.4349,103.88,94.3,43.6,80.5,130.4,86.8
5,1.4645,82.66,74.8,35.3,64.4,103.3,68.0
6,1.4719,70.05,63.4,30.0,54.6,87.5,57.4
7,1.4764,59.33,53.7,25.5,46.3,74.0,48.5
8,1.4727,52.08,47.1,22.3,40.6,65.0,42.7
9,1.4696,46.68,42.3,20.0,36.4,58.3,38.3
10,1.4616,42.07,38.1,17.9,32.7,52.6,34.7
11,1.4436,38.57,35.0,16.3,29.9,48.4,32.1
12,1.3907,36.94,33.7,15.1,28.4,46.7,31.6
13,1.3494,34.89,32.0,13.9,26.6,44.4,30.6
14,1.284,33.78,31.3,12.8,25.4,43.6,30.8
15,1.2106,32.44,30.5,11.6,24.0,42.5,30.9
16,1.1102,31.42,30.2,10.2,22.6,42.2,31.9
17,0.9826,31.83,32.1,9.0,21.9,44.4,35.4
18,0.8342,34.02,37.5,7.6,21.9,50.3,42.7
19,0.6806,35.52,46.2,5.7,20.7,57.4,51.7
20,0.6152,28.88,42.1,3.8,15.9,49.1,45.3
21,0.7458,16.84,20.1,3.2,10.3,26.1,22.9
22,1.0855,9.85,9.5,3.1,7.0,13.3,10.2
23,1.1913,7.57,7.1,2.7,5.6,10.0,7.3
