categoria,shape_p,escala_lambda_meses,media_meses,q1_meses,mediana_meses,q3_meses,IQR_meses
1,1.0514,1549.26,1518.8,473.7,1093.3,2113.7,1640.1
2,1.1725,478.67,453.1,165.4,350.2,632.4,467.0
3,1.1484,208.77,198.8,70.6,151.7,277.5,206.9
4,1.2623,107.74,100.1,40.2,80.6,139.6,99.4
5,1.2655,87.1,80.9,32.5,65.2,112.7,80.2
6,1.2468,74.05,69.0,27.3,55.2,96.2,69.0
7,1.2315,61.83,57.8,22.5,45.9,80.6,58.1
8,1.226,53.84,50.4,19.5,39.9,70.3,50.8
9,1.2354,47.85,44.7,17.5,35.6,62.3,44.9
10,1.2535,42.1,39.2,15.6,31.4,54.6,39.0
11,1.2953,36.04,33.3,13.8,27.2,46.4,32.6
12,1.3044,32.35,29.9,12.4,24.4,41.6,29.1
13,1.3034,29.28,27.0,11.3,22.1,37.6,26.4
14,1.2803,27.09,25.1,10.2,20.3,35.0,24.7
15,1.242,24.91,23.2,9.1,18.5,32.4,23.3
16,1.1745,22.92,21.7,7.9,16.8,30.3,22.3
17,1.0705,21.84,21.3,6.8,15.5,29.6,22.8
18,0.9331,21.7,22.4,5.7,14.7,30.8,25.1
19,0.7785,21.29,24.6,4.3,13.3,32.4,28.1
20,0.7098,17.74,22.2,3.1,10.6,28.1,25.0
21,0.8626,11.42,12.3,2.7,7.5,16.7,14.0
22,1.2149,7.87,7.4,2.8,5.8,10.3,7.5
23,1.3038,6.4,5.9,2.5,4.8,8.2,5.8
