categoria,shape_p,escala_lambda_meses,q1_meses,q1_meses_mono,mediana_meses,mediana_meses_mono,media_meses,media_meses_mono,q3_meses,q3_meses_mono
1,1.051,1573.98,481.0,481.0,1110.6,1110.6,1543.2,1543.2,2147.7,2147.7
2,1.1287,594.6,197.2,197.2,429.7,429.7,569.1,569.1,794.2,794.2
3,1.2736,208.51,78.4,78.4,156.4,156.4,193.4,193.4,269.5,269.5
4,1.4349,103.88,43.6,43.6,80.5,80.5,94.3,94.3,130.4,130.4
5,1.4645,82.66,35.3,35.3,64.4,64.4,74.8,74.8,103.3,103.3
6,1.4719,70.05,30.0,30.0,54.6,54.6,63.4,63.4,87.5,87.5
7,1.4764,59.33,25.5,25.5,46.3,46.3,53.7,53.7,74.0,74.0
8,1.4727,52.08,22.3,22.3,40.6,40.6,47.1,47.1,65.0,65.0
9,1.4696,46.68,20.0,20.0,36.4,36.4,42.3,42.3,58.3,58.3
10,1.4616,42.07,17.9,17.9,32.7,32.7,38.1,38.1,52.6,52.6
11,1.4436,38.57,16.3,16.3,29.9,29.9,35.0,35.0,48.4,48.4
12,1.3907,36.94,15.1,15.1,28.4,28.4,33.7,33.7,46.7,46.7
13,1.3494,34.89,13.9,13.9,26.6,26.6,32.0,33.2,44.4,45.2
14,1.284,33.78,12.8,12.8,25.4,25.4,31.3,33.2,43.6,45.2
15,1.2106,32.44,11.6,11.6,24.0,24.0,30.5,33.2,42.5,45.2
16,1.1102,31.42,10.2,10.2,22.6,22.6,30.2,33.2,42.2,45.2
17,0.9826,31.83,9.0,9.0,21.9,21.9,32.1,33.2,44.4,45.2
18,0.8342,34.02,7.6,7.6,21.9,21.9,37.5,33.2,50.3,45.2
19,0.6806,35.52,5.7,5.7,20.7,20.7,46.2,33.2,57.4,45.2
20,0.6152,28.88,3.8,3.8,15.9,15.9,42.1,33.2,49.1,45.2
21,0.7458,16.84,3.2,3.2,10.3,10.3,20.1,20.1,26.1,26.1
22,1.0855,9.85,3.1,3.1,7.0,7.0,9.5,9.5,13.3,13.3
23,1.1913,7.57,2.7,2.7,5.6,5.6,7.1,7.1,10.0,10.0
