categoria,mes,S_obs,S_weibull
1,0,1.0,1.0
1,1,0.99958,0.99956
1,2,0.99889,0.99908
1,3,0.99848,0.9986
1,4,0.99819,0.9981
1,5,0.9978,0.9976
1,6,0.9975,0.99709
1,7,0.99717,0.99658
1,8,0.99676,0.99607
1,9,0.99489,0.99555
1,10,0.99437,0.99503
1,11,0.99392,0.99451
1,12,0.99351,0.99398
1,13,,0.99346
1,14,,0.99293
1,15,,0.9924
1,16,,0.99187
1,17,,0.99133
1,18,,0.9908
1,19,,0.99027
1,20,,0.98973
1,21,,0.98919
1,22,,0.98865
1,23,,0.98811
1,24,,0.98757
1,25,,0.98703
1,26,,0.98649
1,27,,0.98595
1,28,,0.9854
1,29,,0.98486
1,30,,0.98431
1,31,,0.98377
1,32,,0.98322
1,33,,0.98267
1,34,,0.98212
1,35,,0.98158
1,36,,0.98103
2,0,1.0,1.0
2,1,0.9993,0.99928
2,2,0.99823,0.99838
2,3,0.99689,0.99739
2,4,0.99636,0.99635
2,5,0.99574,0.99526
2,6,0.99518,0.99413
2,7,0.99407,0.99297
2,8,0.99265,0.99178
2,9,0.98985,0.99057
2,10,0.98873,0.98934
2,11,0.9868,0.98809
2,12,0.9851,0.98681
2,13,,0.98553
2,14,,0.98422
2,15,,0.98291
2,16,,0.98157
2,17,,0.98023
2,18,,0.97887
2,19,,0.97751
2,20,,0.97613
2,21,,0.97474
2,22,,0.97334
2,23,,0.97194
2,24,,0.97052
2,25,,0.9691
2,26,,0.96767
2,27,,0.96623
2,28,,0.96479
2,29,,0.96334
2,30,,0.96188
2,31,,0.96042
2,32,,0.95895
2,33,,0.95747
2,34,,0.95599
2,35,,0.9545
2,36,,0.95301
3,0,1.0,1.0
3,1,0.99789,0.99783
3,2,0.99513,0.99521
3,3,0.99225,0.99237
3,4,0.98895,0.9894
3,5,0.98615,0.98633
3,6,0.98289,0.98317
3,7,0.98039,0.97995
3,8,0.97796,0.97666
3,9,0.97492,0.97333
3,10,0.97124,0.96995
3,11,0.96444,0.96653
3,12,0.96133,0.96308
3,13,,0.9596
3,14,,0.95609
3,15,,0.95255
3,16,,0.949
3,17,,0.94542
3,18,,0.94183
3,19,,0.93822
3,20,,0.9346
3,21,,0.93096
3,22,,0.92732
3,23,,0.92366
3,24,,0.91999
3,25,,0.91632
3,26,,0.91263
3,27,,0.90895
3,28,,0.90525
3,29,,0.90155
3,30,,0.89785
3,31,,0.89415
3,32,,0.89044
3,33,,0.88673
3,34,,0.88302
3,35,,0.87931
3,36,,0.8756
4,0,1.0,1.0
4,1,0.99758,0.99728
4,2,0.9939,0.9935
4,3,0.98846,0.98917
4,4,0.98141,0.98447
4,5,0.97688,0.97947
4,6,0.97256,0.97423
4,7,0.96821,0.96878
4,8,0.96388,0.96316
4,9,0.95946,0.95738
4,10,0.95483,0.95146
4,11,0.94878,0.94543
4,12,0.94255,0.93929
4,13,,0.93306
4,14,,0.92674
4,15,,0.92035
4,16,,0.91388
4,17,,0.90736
4,18,,0.90079
4,19,,0.89416
4,20,,0.8875
4,21,,0.88079
4,22,,0.87406
4,23,,0.86729
4,24,,0.86051
4,25,,0.8537
4,26,,0.84687
4,27,,0.84003
4,28,,0.83318
4,29,,0.82632
4,30,,0.81946
4,31,,0.81259
4,32,,0.80572
4,33,,0.79886
4,34,,0.792
4,35,,0.78515
4,36,,0.7783
5,0,1.0,1.0
5,1,0.99694,0.9965
5,2,0.99168,0.99161
5,3,0.98495,0.98602
5,4,0.97682,0.97994
5,5,0.97062,0.97348
5,6,0.96493,0.96671
5,7,0.9592,0.95968
5,8,0.9536,0.95244
5,9,0.9477,0.94501
5,10,0.9412,0.93742
5,11,0.93344,0.92968
5,12,0.92513,0.92183
5,13,,0.91386
5,14,,0.9058
5,15,,0.89766
5,16,,0.88946
5,17,,0.88118
5,18,,0.87286
5,19,,0.8645
5,20,,0.8561
5,21,,0.84767
5,22,,0.83921
5,23,,0.83075
5,24,,0.82226
5,25,,0.81378
5,26,,0.80529
5,27,,0.7968
5,28,,0.78832
5,29,,0.77985
5,30,,0.7714
5,31,,0.76296
5,32,,0.75455
5,33,,0.74616
5,34,,0.73779
5,35,,0.72945
5,36,,0.72115
6,0,1.0,1.0
6,1,0.99591,0.99534
6,2,0.98891,0.98899
6,3,0.98057,0.98181
6,4,0.97116,0.97406
6,5,0.96229,0.96588
6,6,0.95493,0.95736
6,7,0.9476,0.94856
6,8,0.94057,0.93953
6,9,0.9333,0.9303
6,10,0.92515,0.92092
6,11,0.91612,0.91139
6,12,0.90624,0.90175
6,13,,0.89202
6,14,,0.88221
6,15,,0.87233
6,16,,0.8624
6,17,,0.85244
6,18,,0.84244
6,19,,0.83243
6,20,,0.82241
6,21,,0.81238
6,22,,0.80236
6,23,,0.79236
6,24,,0.78237
6,25,,0.77241
6,26,,0.76248
6,27,,0.75258
6,28,,0.74272
6,29,,0.73291
6,30,,0.72314
6,31,,0.71342
6,32,,0.70376
6,33,,0.69416
6,34,,0.68461
6,35,,0.67513
6,36,,0.66572
7,0,1.0,1.0
7,1,0.99473,0.99379
7,2,0.9849,0.98549
7,3,0.97395,0.9762
7,4,0.96293,0.96625
7,5,0.9513,0.95582
7,6,0.94175,0.94501
7,7,0.93252,0.9339
7,8,0.92354,0.92256
7,9,0.91443,0.91103
7,10,0.90476,0.89934
7,11,0.89395,0.88754
7,12,0.88329,0.87564
7,13,,0.86368
7,14,,0.85167
7,15,,0.83963
7,16,,0.82757
7,17,,0.81552
7,18,,0.80348
7,19,,0.79147
7,20,,0.77949
7,21,,0.76756
7,22,,0.75568
7,23,,0.74386
7,24,,0.73211
7,25,,0.72044
7,26,,0.70884
7,27,,0.69733
7,28,,0.68591
7,29,,0.67459
7,30,,0.66336
7,31,,0.65224
7,32,,0.64122
7,33,,0.63031
7,34,,0.61951
