categoria,shape_p,escala_lambda_meses,alpha,R2_ajuste,S12_obs,S12_fit,S24_weib,S36_weib,risco_24m,risco_36m,media_meses,q1_meses,mediana_meses,q3_meses,IQR_meses
1,1.0514,1549.26,0.000443,0.9715,0.9935,0.994,0.9876,0.981,0.0124,0.019,1518.8,473.7,1093.3,2113.7,1640.1
2,1.1725,478.67,0.00072,0.9813,0.9851,0.9868,0.9705,0.953,0.0295,0.047,453.1,165.4,350.2,632.4,467.0
3,1.1484,208.77,0.002168,0.9977,0.9613,0.9631,0.92,0.8756,0.08,0.1244,198.8,70.6,151.7,277.5,206.9
4,1.2623,107.74,0.00272,0.9911,0.9426,0.9393,0.8605,0.7783,0.1395,0.2217,100.1,40.2,80.6,139.6,99.4
5,1.2655,87.1,0.003507,0.9929,0.9251,0.9218,0.8223,0.7212,0.1777,0.2788,80.9,32.5,65.2,112.7,80.2
6,1.2468,74.05,0.004667,0.994,0.9062,0.9018,0.7824,0.6657,0.2176,0.3343,69.0,27.3,55.2,96.2,69.0
7,1.2315,61.83,0.006226,0.9923,0.8833,0.8756,0.7321,0.5982,0.2679,0.4018,57.8,22.5,45.9,80.6,58.1
8,1.226,53.84,0.007545,0.9923,0.8636,0.8532,0.6898,0.5431,0.3102,0.4569,50.4,19.5,39.9,70.3,50.8
9,1.2354,47.85,0.008407,0.9923,0.8471,0.8344,0.6529,0.4948,0.3471,0.5052,44.7,17.5,35.6,62.3,44.9
10,1.2535,42.1,0.009205,0.9927,0.8275,0.8127,0.6099,0.4396,0.3901,0.5604,39.2,15.6,31.4,54.6,39.0
11,1.2953,36.04,0.009628,0.9909,0.8055,0.7861,0.5539,0.3683,0.4461,0.6317,33.3,13.8,27.2,46.4,32.6
12,1.3044,32.35,0.010731,0.9908,0.7826,0.7601,0.5079,0.3167,0.4921,0.6833,29.9,12.4,24.4,41.6,29.1
13,1.3034,29.28,0.012256,0.9909,0.7566,0.7315,0.4623,0.2701,0.5377,0.7299,27.0,11.3,22.1,37.6,26.4
14,1.2803,27.09,0.014639,0.9921,0.7285,0.7029,0.4248,0.2372,0.5752,0.7628,25.1,10.2,20.3,35.0,24.7
15,1.242,24.91,0.018436,0.9938,0.6927,0.6679,0.3849,0.206,0.6151,0.794,23.2,9.1,18.5,32.4,23.3
16,1.1745,22.92,0.025266,0.9959,0.6482,0.6264,0.348,0.1828,0.652,0.8172,21.7,7.9,16.8,30.3,22.3
17,1.0705,21.84,0.036837,0.9982,0.606,0.5905,0.3308,0.1813,0.6692,0.8187,21.3,6.8,15.5,29.6,22.8
18,0.9331,21.7,0.056624,0.9991,0.573,0.5625,0.3333,0.2011,0.6667,0.7989,22.4,5.7,14.7,30.8,25.1
19,0.7785,21.29,0.092461,0.9983,0.5372,0.5273,0.3336,0.222,0.6664,0.778,24.6,4.3,13.3,32.4,28.1
20,0.7098,17.74,0.129885,0.9974,0.4782,0.4687,0.2896,0.1916,0.7104,0.8084,22.2,3.1,10.6,28.1,25.0
21,0.8626,11.42,0.122378,0.9965,0.3444,0.3521,0.1499,0.0677,0.8501,0.9323,12.3,2.7,7.5,16.7,14.0
22,1.2149,7.87,0.081548,0.9849,0.1286,0.1884,0.0208,0.0018,0.9792,0.9982,7.4,2.8,5.8,10.3,7.5
23,1.3038,6.4,0.088968,0.9664,0.028,0.1032,0.0037,0.0001,0.9963,0.9999,5.9,2.5,4.8,8.2,5.8
