categoria,shape_p,escala_lambda_meses,alpha,R2_ajuste,S12_obs,S12_fit,S24_weib,S36_weib,media_meses,q1_meses,mediana_meses,q3_meses,IQR_meses
1,1.1045,1130.62,0.000424,0.998,0.9934,0.9934,0.9859,0.978,1089.5,365.9,811.3,1519.7,1153.7
2,1.2398,180.97,0.001589,0.9984,0.9669,0.966,0.9215,0.8737,168.9,66.2,134.7,235.5,169.3
3,1.1851,124.72,0.003281,0.9989,0.941,0.9395,0.8678,0.7951,117.7,43.6,91.5,164.3,120.7
4,1.1661,89.96,0.005264,0.9982,0.9117,0.909,0.8072,0.7091,85.3,30.9,65.7,119.0,88.1
5,1.109,71.98,0.008715,0.998,0.8756,0.8719,0.744,0.6289,69.3,23.4,51.7,96.6,73.2
6,1.1337,53.19,0.011053,0.9941,0.8414,0.8312,0.6665,0.526,50.8,17.7,38.5,71.0,53.2
7,1.1979,39.83,0.012107,0.9875,0.8073,0.7885,0.5798,0.4124,37.5,14.1,29.3,52.3,38.2
8,1.2052,31.94,0.015383,0.9852,0.7597,0.7354,0.4923,0.315,30.0,11.4,23.6,41.9,30.5
9,1.2541,25.91,0.016881,0.9925,0.7092,0.6833,0.4032,0.2208,24.1,9.6,19.3,33.6,24.0
10,1.2508,20.91,0.022306,0.9969,0.6315,0.607,0.3049,0.1391,19.5,7.7,15.6,27.2,19.4
11,1.0173,19.66,0.04832,0.9986,0.5602,0.5459,0.2937,0.1571,19.5,5.8,13.7,27.1,21.3
12,0.9778,13.91,0.076231,0.9984,0.4322,0.4208,0.1818,0.0793,14.0,3.9,9.6,19.4,15.5
13,1.1959,8.99,0.072377,0.9963,0.2011,0.2434,0.0393,0.0052,8.5,3.2,6.6,11.8,8.6
14,1.2414,6.21,0.103592,0.9776,0.0407,0.1039,0.0047,0.0001,5.8,2.3,4.6,8.1,5.8
